,Calm_Direct_FinalMax,Calm_Avert_FinalMax,Angry_Direct_FinalMax,Angry_Avert_FinalMax,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-a_a,meanRT-c_a,meanRT-a_d,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR
Calm_Direct_FinalMax,0.0,7.151609273300991e-43,1.9200806168380437e-44,6.0220651688715116e-43,0.6608431105660602,0.6134530416884866,0.257448525158625,0.7332585075601853,0.7934631578468216,0.23342798460562045,0.6251075129603999,0.5808945571970061,0.3420031640093152,0.7858435753119507,0.7026788525178114,0.31105037606086455,0.7026788525178114,0.8079226198216042,0.24392504995555714,0.7022180128235015,0.994314406538394,0.21622827958180593,0.6499330604397835,0.7278284888899311,0.2625517249911642,0.6942189918842201,0.8093332554023706,0.5755610504834924,0.9535112828837924,0.38355380771146025,0.40703857256222253,0.9764109027450415,0.33094331921292963,0.6007760341894287,0.9465850838478133,0.6623666731861368,0.5755610504834924,0.9782972923102424,0.42274673225136067,0.25042036573158627,0.3621758550038538,0.31105037606086455,0.4110722087936673,0.40067760621725873,0.37976122924489913,0.9652979324183512,0.9987832685966745,0.9664545165369325,0.891971982825057,0.347644210552215,0.32236628826945085,0.814458445030594,0.26701969832156824,0.14314837046193163,0.10584528834863269,0.20509048636723984,0.8503805111490658,0.9208764045754265
Calm_Avert_FinalMax,7.151609273300991e-43,0.0,6.205027264594657e-38,1.5428725768282933e-42,0.7858435753119507,0.7165667465827043,0.4086320841793028,0.8681191780238218,0.8681191780238218,0.40966151423388386,0.7775891055193218,0.6456434769487863,0.5379437899758648,0.9206954809806446,0.7368488327739412,0.4945504242066616,0.8630625424451669,0.9208764045754265,0.3951053472076983,0.8883937332214549,0.8860916193946581,0.39236321970552396,0.8366187570174023,0.7940887063337714,0.4362932753382175,0.8908244530824431,0.859031274177367,0.7873982023622977,0.9460130688659434,0.5514540804036334,0.5418753531243542,0.9426888466626064,0.49509842391212333,0.823637403415866,0.9675298249043094,0.8681191780238218,0.72117410546874,0.9785407874146296,0.5650645506173977,0.40067760621725873,0.4617708586682702,0.44286413225019966,0.5231281826110095,0.5287522058569968,0.4281771891262663,0.9376027455716356,0.859031274177367,0.9414385743569615,0.9988648110585181,0.4188252652991199,0.355649060800559,0.9149044399237108,0.5219935274780926,0.3281741155106897,0.2625517249911642,0.4099579743739751,0.8103053534656123,0.8849092827078313
Angry_Direct_FinalMax,1.9200806168380437e-44,6.205027264594657e-38,0.0,1.911943646964514e-40,0.7913558040082713,0.6060383385931691,0.3319549805142252,0.8614794341616263,0.7913558040082713,0.3706112339251952,0.7747117567315851,0.552652607391463,0.418333720920761,0.859031274177367,0.7042789518937289,0.45653457302805983,0.8232885575058085,0.8299231179492649,0.33094331921292963,0.859031274177367,0.9647813688821365,0.38239473254090905,0.805654948867168,0.7526581439304237,0.33322440630467637,0.8232885575058085,0.8482506599719801,0.7767453625994749,0.9124041093388309,0.5197638236322929,0.5673275845797484,0.9810466650642538,0.5028042056583092,0.679115402362583,0.978401814269304,0.7998704831910544,0.7278284888899311,0.9465850838478133,0.4938102962678673,0.35122589891740846,0.355649060800559,0.34663803285330486,0.41159211033905424,0.4069408356197104,0.28370289886028804,0.9566493461359314,0.8902910178840617,0.9199088287165587,0.9664545165369325,0.3805392382628621,0.3337289358330317,0.9123796196083948,0.44552218430398327,0.23543896487773477,0.20378270826350398,0.34454441925049495,0.7913558040082713,0.8647852911278624
Angry_Avert_FinalMax,6.0220651688715116e-43,1.5428725768282933e-42,1.911943646964514e-40,0.0,0.6725836616584996,0.5439964347278979,0.32626517041441355,0.75255145097288,0.771700093828466,0.32521154201017666,0.5881791273621249,0.5560778424339594,0.4100578558695462,0.7767453625994749,0.6373471741780283,0.48199707163017586,0.7769868478123271,0.7371939470155766,0.30661782608766,0.7913558040082713,0.9785407874146296,0.3615149942904096,0.7160291664807067,0.6827368740606226,0.3091886651109342,0.7872816779525101,0.72117410546874,0.8299231179492649,0.9886990994549205,0.47948002686993113,0.46409582262575233,0.9785407874146296,0.4907800598110638,0.6456434769487863,0.8448827911038728,0.7816490229283815,0.590796921288401,0.9315999587066486,0.49589646904753637,0.2474358614847536,0.3181639874673497,0.29851811520159033,0.3653638956277086,0.39236321970552396,0.355649060800559,0.9809149777710773,0.9460130688659434,0.9319426892922384,0.8096791842562929,0.21622827958180593,0.1731698748303996,0.7850655981882604,0.37624868474210027,0.18174625994063306,0.1370768809324414,0.3038690769610108,0.9890590479840417,0.9465850838478133
Fix_a_d_BG,0.6608431105660602,0.7858435753119507,0.7913558040082713,0.6725836616584996,0.0,0.002155093329621076,0.44552218430398327,2.199532446245196e-20,0.0016358803319632574,0.40067760621725873,6.693013245424218e-26,0.010446484287705803,0.7201126004197353,2.682372531195565e-23,0.006603379179928665,0.3858032965203169,6.132674770010222e-26,8.35404797874253e-05,0.5287522058569968,2.3765217987708296e-15,7.016189896835568e-05,0.3858032965203169,4.795764019773022e-21,0.0005764470961492034,0.7184720701675344,1.978973519674805e-23,0.0006851309554237091,0.5221504838860679,0.0019255437928100347,0.5110142143113579,4.532266197019431e-09,0.01161304992433733,0.35122589891740846,6.737386472681869e-12,0.002105352030468108,0.4400238245022179,1.3940796661233694e-19,0.010339206516523524,0.7337524395171716,6.716657365137748e-19,0.9126046588097438,0.9269221634252193,0.7844305199120384,0.7939032752191532,0.03511038854201287,0.23557031934752196,0.7844305199120384,0.4737573573520888,0.5002819038626946,0.7939032752191532,0.9535298758122577,0.6920086474129343,6.183112266080593e-06,7.421446108076501e-06,2.7836072607518457e-05,9.553339196952474e-05,0.4218826807904182,0.3913994804467734
Fix_a_d_EY,0.6134530416884866,0.7165667465827043,0.6060383385931691,0.5439964347278979,0.002155093329621076,0.0,0.596997137180751,0.0015180585295222389,1.92875510995627e-30,0.4617708586682702,0.0018488063330792967,1.3497818892475783e-21,0.8614794341616263,0.005569406746272846,7.990216910842175e-21,0.9306289092964675,0.00022715645219829628,3.1201733999706987e-21,0.8614794341616263,0.0002749588782935384,1.188120516013744e-16,0.9208764045754265,0.00030575054946415075,1.1724127427064563e-13,0.7998704831910544,0.0006087460421781143,5.119992258120404e-16,0.4571472546005058,1.8354084529866474e-10,0.5772369446238301,0.001190324404088377,3.2852621428456894e-09,0.9124041093388309,6.370699036743306e-05,8.987566199377141e-19,0.6715255935949664,0.0013625510269788,5.898994534136997e-08,0.352466427743774,0.000689213720415757,0.0005523411964465174,0.00044363932924050667,0.00041022232462721076,0.0005866797565246823,0.0017365424732619329,0.015398658573587827,0.355649060800559,0.9426888466626064,0.6753711421343929,0.8079226198216042,0.7001581965344515,0.5900003427448569,0.005036226441623802,0.006458209409033249,0.007518147491912839,0.0023022520018630577,0.7913558040082713,0.8803727455414719
Fix_a_d_MO,0.257448525158625,0.4086320841793028,0.3319549805142252,0.32626517041441355,0.44552218430398327,0.596997137180751,0.0,0.4907800598110638,0.5990277447313047,1.1449390459993156e-19,0.29851811520159033,0.75255145097288,5.872672583247122e-20,0.2625517249911642,0.9764109027450415,1.2199231820623545e-16,0.3826245951483434,0.8648414302994942,2.0089571909674039e-28,0.2895069737948305,0.8908244530824431,3.814613842681182e-15,0.21622827958180593,0.20170489103235925,1.0224870271425818e-17,0.17672984919108686,0.5320785631201355,9.697784618964502e-11,0.7371939470155766,6.70599835024116e-08,0.47562192998689296,0.8309004311676362,2.5578310628280405e-10,0.16819487418858023,0.8945958701920896,7.124224268979524e-15,0.7071737511077283,0.11980755414737153,4.673777806699191e-08,0.3408475260266462,0.04164712945644017,0.13321542921145796,0.038305312191048546,0.10777362305181142,0.04164712945644017,0.9609358627340346,0.9123199701723412,0.3473208667425811,0.5113562910962466,0.40894434052244866,0.596997137180751,0.19566662287531839,0.852127009896688,0.8015900564557772,0.7609384483059733,0.9056023579272392,0.35230544117051615,0.2875467265366546
Fix_a_a_BG,0.7332585075601853,0.8681191780238218,0.8614794341616263,0.75255145097288,2.199532446245196e-20,0.0015180585295222389,0.4907800598110638,0.0,0.000859362854700905,0.32236628826945085,4.908207131512737e-19,0.009725310318406134,0.6327912679118125,3.0464871556014493e-15,0.002968277669504928,0.4617708586682702,4.0877115900311827e-22,1.3666665652693489e-05,0.5755610504834924,3.9943553646260554e-26,5.628796870480937e-06,0.32972580087926134,5.382854689740925e-21,0.0001629159422924604,0.5997758609253578,3.563147458864657e-21,0.0002107547950283605,0.6251974890653508,0.0006461926587710484,0.3053776183687331,2.8485239581877106e-14,0.013787003963551557,0.49589646904753637,1.1226574270464585e-11,0.0007090351583493476,0.4555516622544379,3.4287723886492653e-15,0.007478395857823645,0.5565489950790161,1.2199231820623545e-16,0.8503805111490658,0.7857494052003202,0.6198644893337848,0.5764249754640163,0.0888659909066531,0.23411153528115822,0.8201953778368858,0.5098918539722909,0.8201953778368858,0.9219832223392075,0.9664545165369325,0.9872391710101436,6.586963158525598e-08,8.285725586917985e-07,2.2049172792609822e-06,7.64304696544992e-06,0.7278284888899311,0.7220062358425269
Fix_a_a_EY,0.7934631578468216,0.8681191780238218,0.7913558040082713,0.771700093828466,0.0016358803319632574,1.92875510995627e-30,0.5990277447313047,0.000859362854700905,0.0,0.3950485188585222,0.0015520366370537992,1.2687603730000573e-19,0.8096791842562929,0.003883991292505642,1.45021805618821e-20,0.9208764045754265,0.0001272960632723115,1.7629250963496208e-16,0.8264218251432366,0.00022557839026641441,5.668122408931572e-19,0.9219832223392075,0.00016452896370361706,2.680239418430064e-12,0.7964520190534263,0.0004844318978301679,7.589579339956665e-15,0.40067760621725873,1.2037336224104827e-11,0.5003871659705805,0.00036673542446232383,2.2700950980111005e-08,0.890892416216125,4.587372730437746e-05,1.936528289895951e-13,0.5251620833662689,0.001218299860699501,5.215738395071509e-07,0.34278751195862256,0.0013976412533555325,0.0007238988923193113,0.001610437120999552,0.0009226736240903324,0.0012732176563369315,0.0010292977566260357,0.0231586111778891,0.6456434769487863,0.8681191780238218,0.6379281940038684,0.9989505857228852,0.9219832223392075,0.8393781668422141,0.004268455017270208,0.014992210669470495,0.02044096854057912,0.007182380100989755,0.9764109027450415,0.9465850838478133
Fix_a_a_MO,0.23342798460562045,0.40966151423388386,0.3706112339251952,0.32521154201017666,0.40067760621725873,0.4617708586682702,1.1449390459993156e-19,0.32236628826945085,0.3950485188585222,0.0,0.2827313389738512,0.9865258097136121,3.674562191884377e-18,0.27176406206698506,0.7799939429802675,2.840887808063354e-14,0.30976380090574357,0.9555751315808221,3.0950491095411187e-13,0.17825177967690808,0.998335960972726,7.431179261079401e-21,0.21185155666292857,0.3646132386557184,8.843723341608447e-14,0.1642893066398034,0.7836901619726633,3.058724752325139e-08,0.9793148659335034,4.638498466910171e-12,0.2511015025338759,0.8264218251432366,4.546534380311925e-10,0.2395583983277899,0.9956838072290531,2.7946441453734286e-09,0.5808945571970061,0.3091886651109342,1.0526157611634142e-06,0.35532845941435526,0.14217751295019548,0.33322440630467637,0.1714007304247454,0.2598487624281808,0.02261659054769068,0.8681191780238218,0.7278284888899311,0.75255145097288,0.8614794341616263,0.8045289079745982,0.6206821115624991,0.5911396881420518,0.4613645781790314,0.49589646904753637,0.6098753105312719,0.8096791842562929,0.6623666731861368,0.5650645506173977
