Type,Feature_1,Feature_2,r,p_fdr,significant
feature-feature,Calm_Direct_FinalMax,Calm_Avert_FinalMax,0.9822789154483008,4.971601481025793e-42,True
feature-feature,Calm_Direct_FinalMax,Angry_Direct_FinalMax,0.9843737536881317,2.0856048079447715e-43,True
feature-feature,Calm_Direct_FinalMax,Angry_Avert_FinalMax,0.9824018524700033,4.971601481025793e-42,True
feature-feature,Calm_Avert_FinalMax,Angry_Direct_FinalMax,0.9737603890284803,2.9487252410412108e-37,True
feature-feature,Calm_Avert_FinalMax,Angry_Avert_FinalMax,0.981787760425024,9.21733358398282e-42,True
feature-feature,Angry_Direct_FinalMax,Angry_Avert_FinalMax,0.9785004081553608,1.0087150965019679e-39,True
feature-feature,Fix_a_d_BG,Fix_a_d_EY,-0.4476111790621183,0.001732241118075893,True
feature-feature,Fix_a_d_BG,Fix_a_a_BG,0.8911658019143306,1.1622968313097655e-19,True
feature-feature,Fix_a_d_BG,Fix_a_a_EY,-0.45936199300755637,0.0012235117423698423,True
feature-feature,Fix_a_d_BG,Fix_c_d_BG,0.9306476903399226,1.1052903315071567e-24,True
feature-feature,Fix_a_d_BG,Fix_c_d_EY,-0.37869292381415354,0.01198461584928244,True
feature-feature,Fix_a_d_BG,Fix_c_a_BG,0.9185223680677147,7.445685350141e-23,True
feature-feature,Fix_a_d_BG,Fix_c_a_EY,-0.4143133630496219,0.004736941203079007,True
feature-feature,Fix_a_d_BG,Dwell_a_d_BG,0.9320111399053624,6.951122816515974e-25,True
feature-feature,Fix_a_d_BG,Dwell_a_d_EY,-0.5424391809088784,5.8797323274923886e-05,True
feature-feature,Fix_a_d_BG,Dwell_a_a_BG,0.8273210026861924,1.2359558809994115e-14,True
feature-feature,Fix_a_d_BG,Dwell_a_a_EY,-0.5518891064590823,3.949566626276332e-05,True
feature-feature,Fix_a_d_BG,Dwell_c_d_BG,0.8943408980896005,5.669414471355291e-20,True
feature-feature,Fix_a_d_BG,Dwell_c_d_EY,-0.478297831528617,0.0006631957777114191,True
feature-feature,Fix_a_d_BG,Dwell_c_a_BG,0.9159650845608494,1.6798820987926747e-22,True
feature-feature,Fix_a_d_BG,Dwell_c_a_EY,-0.49268399058513873,0.00040144571033396483,True
feature-feature,Fix_a_d_BG,pctFirstFixa_aEY,-0.4532877762737247,0.001480808152466991,True
feature-feature,Fix_a_d_BG,pctFirstFixa_aBG,0.6916528945879277,1.2491907347147858e-08,True
feature-feature,Fix_a_d_BG,pctFirstFixc_aEY,-0.3920223224513777,0.008533774016736127,True
feature-feature,Fix_a_d_BG,pctFirstFixc_aBG,0.7635340304992071,2.480994150636929e-11,True
feature-feature,Fix_a_d_BG,pctFirstFixa_dEY,-0.45213854075634974,0.0015251615162332579,True
feature-feature,Fix_a_d_BG,pctFirstFixa_dBG,0.8820677525682353,8.595774994528653e-19,True
feature-feature,Fix_a_d_BG,pctFirstFixc_dEY,-0.3725091316167667,0.013974726276656349,True
feature-feature,Fix_a_d_BG,pctFirstFixc_dBG,0.8735146043827698,5.103107387569451e-18,True
feature-feature,Fix_a_d_BG,msTotal.a_a,-0.34375567231656334,0.026740374475858662,True
feature-feature,Fix_a_d_BG,pctOnBackground.a_a,0.5862467331985598,7.97914931400692e-06,True
feature-feature,Fix_a_d_BG,pctOnBackground.a_c,0.5783893323901322,1.1574779146511064e-05,True
feature-feature,Fix_a_d_BG,pctOnBackground.d_a,0.545804536828517,5.129049104146461e-05,True
