Feature_1,p_fdr
Calm_Direct_FinalMax,0.7174928030905524
Calm_Avert_FinalMax,0.7191987613943458
Angry_Direct_FinalMax,0.762588368906856
Angry_Avert_FinalMax,0.7105718800594782
Fix_a_d_BG,0.08115245928178381
Fix_a_d_EY,0.10566346800382215
Fix_a_d_MO,0.8014962550248024
Fix_a_a_BG,0.05527444651545954
Fix_a_a_EY,0.1264011137442405
Fix_a_a_MO,0.819912939415883
Fix_c_d_BG,0.12702848883176737
Fix_c_d_EY,0.449533178581555
Fix_c_d_MO,0.8971496922081779
Fix_c_a_BG,0.045840133377394864
Fix_c_a_EY,0.3677139612738504
Fix_c_a_MO,0.9112503204885093
Dwell_a_d_BG,0.04331004600907288
Dwell_a_d_EY,0.02218773562471135
Dwell_a_d_MO,0.9572599674523139
Dwell_a_a_BG,0.03786320892465923
Dwell_a_a_EY,0.0736699681351661
Dwell_a_a_MO,0.6805097118966081
Dwell_c_d_BG,0.11235474092656636
Dwell_c_d_EY,0.3904922986740645
Dwell_c_d_MO,0.789485490605693
Dwell_c_a_BG,0.036065399172334096
Dwell_c_a_EY,0.21353043464389804
Dwell_c_a_MO,0.8420667357756951
pctFirstFixa_aEY,0.2578497527258097
pctFirstFixa_aMO,0.3009377348953742
pctFirstFixa_aBG,0.2763070942855717
pctFirstFixc_aEY,0.31826958579397663
pctFirstFixc_aMO,0.938791681757445
pctFirstFixc_aBG,0.01029086555756951
pctFirstFixa_dEY,0.16677556202939753
pctFirstFixa_dMO,0.9323955826438609
pctFirstFixa_dBG,0.05105980152294176
pctFirstFixc_dEY,0.2820210523189988
pctFirstFixc_dMO,0.815077623351368
pctFirstFixc_dBG,0.017737420230970306
meanRT-a_a,0.6735544506633695
meanRT-c_a,0.762588368906856
meanRT-a_d,0.762588368906856
meanRT-c_d,0.7982468688416815
msTotal.a_a,0.8014962550248024
msTotal.a_c,0.3506557216697526
msTotal.d_a,0.7191987613943458
msTotal.d_c,0.8947434940438662
pctOffscreen.a_a,0.16793491950775544
pctOffscreen.a_c,0.19794119472977112
pctOffscreen.d_a,0.2996528031178506
pctOffscreen.d_c,0.20069473547312444
pctOnBackground.a_a,0.9968500041879834
pctOnBackground.a_c,0.8420667357756951
pctOnBackground.d_a,0.8189095527240294
pctOnBackground.d_c,0.9148798345243813
pctSamplesOffscreenL,0.5084111139350703
pctSamplesOffscreenR,0.3456803589829747
ARI_6_P,0.0
SCARED_P,0.0014268712578451282
