Feature_1,p_fdr
Calm_Direct_FinalMax,0.7441828807758362
Calm_Avert_FinalMax,0.7992199089369582
Angry_Direct_FinalMax,0.7369851650831918
Angry_Avert_FinalMax,0.8351684508787682
Fix_a_d_BG,0.06897212014823433
Fix_a_d_EY,0.022187812746384313
Fix_a_d_MO,0.623840347099165
Fix_a_a_BG,0.06416248804042053
Fix_a_a_EY,0.007295653292287824
Fix_a_a_MO,0.9203887008039628
Fix_c_d_BG,0.17440246644900434
Fix_c_d_EY,0.10442854437582644
Fix_c_d_MO,0.40947702281739545
Fix_c_a_BG,0.24135924054213628
Fix_c_a_EY,0.06865558630099891
Fix_c_a_MO,0.6145863284167323
Dwell_a_d_BG,0.019779123534089657
Dwell_a_d_EY,0.012448974568196351
Dwell_a_d_MO,0.39943773757532297
Dwell_a_a_BG,0.031021653113081922
Dwell_a_a_EY,0.006915154872586455
Dwell_a_a_MO,0.7014985788925588
Dwell_c_d_BG,0.04895524776422413
Dwell_c_d_EY,0.14065932148826668
Dwell_c_d_MO,0.3220663135547399
Dwell_c_a_BG,0.1667858291572032
Dwell_c_a_EY,0.03970077540261628
Dwell_c_a_MO,0.3978657735325367
pctFirstFixa_aEY,0.007818643489896939
pctFirstFixa_aMO,0.22156674352129732
pctFirstFixa_aBG,0.10066720209650881
pctFirstFixc_aEY,0.4473368155125275
pctFirstFixc_aMO,0.4875475758226957
pctFirstFixc_aBG,0.08701352284156874
pctFirstFixa_dEY,0.0537232909825069
pctFirstFixa_dMO,0.3449081412387184
pctFirstFixa_dBG,0.01930909883034985
pctFirstFixc_dEY,0.17927605093363247
pctFirstFixc_dMO,0.13913519947312752
pctFirstFixc_dBG,0.06716917072295375
meanRT-a_a,0.11870526912310218
meanRT-c_a,0.06654306046913219
meanRT-a_d,0.1408415784643217
meanRT-c_d,0.13349698660773301
msTotal.a_a,0.3076400175878683
msTotal.a_c,0.22760808022591847
msTotal.d_a,0.7556388802693401
msTotal.d_c,0.8155402649795135
pctOffscreen.a_a,0.9602698946521073
pctOffscreen.a_c,0.8420667357756951
pctOffscreen.d_a,0.5208378427270439
pctOffscreen.d_c,0.7936390877099179
pctOnBackground.a_a,0.26737674657110205
pctOnBackground.a_c,0.35293401578511624
pctOnBackground.d_a,0.5119307167536149
pctOnBackground.d_c,0.33744296050801875
pctSamplesOffscreenL,0.9201268445867927
pctSamplesOffscreenR,0.8827392171243158
ARI_6_P,0.0014268712578451282
SCARED_P,0.0
