,Calm_Direct_FinalMax,Calm_Avert_FinalMax,Angry_Direct_FinalMax,Angry_Avert_FinalMax,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-a_a,meanRT-c_a,meanRT-a_d,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR,ARI_6_P,SCARED_P
Calm_Direct_FinalMax,1.0,0.9822789154483008,0.9843737536881317,0.9824018524700033,0.08423705169008869,-0.14459665198297664,-0.2326546594715187,0.07750800915784752,-0.09733602986733449,-0.24338055542882953,0.09652594322528325,-0.1338776844016746,-0.19860516459806685,0.06728731402189876,-0.12886189194722494,-0.21726810380500533,0.06772324142263644,-0.0946870906658474,-0.23846238927867794,0.08211465754510348,-0.03867507839774426,-0.24902538499686358,0.08639721699857944,-0.1037989563118986,-0.22735824657419718,0.08689043336067061,-0.10163842814354578,-0.13796487765122945,-0.022969682977664316,-0.1907603111298181,0.15796584631827926,-0.031169685578324793,-0.20934985356191285,0.10395619193242059,-0.0525975915199524,-0.12131411474629197,0.09672415752544117,-0.008295113961327184,-0.1709207360502851,0.19165442830172905,-0.17130901817759978,-0.18854884549003514,-0.15652639936580992,-0.15997595481697607,-0.17472141333303134,-0.0687821402412478,0.019371022910046116,0.021053290020158457,0.05224824048932727,0.17469483076111603,0.18366344031520587,0.047365541154671946,0.21683097175942198,0.26627589446529915,0.27103829329708445,0.22331629787258725,-0.030479368990484198,-0.033999562331406684,-0.08128170333145172,-0.07443966763250273
Calm_Avert_FinalMax,0.9822789154483007,1.0,0.9737603890284803,0.981787760425024,0.052126640197822136,-0.1199987597904074,-0.1829457234455495,0.035180112440670555,-0.07336240103615041,-0.18425736866804726,0.05850115763383911,-0.11739017766585094,-0.14294121543359803,0.027938241099434456,-0.11981602045913023,-0.16226529521559732,0.020527697179491534,-0.06221830868003606,-0.1875391719437323,0.02819243127829372,-0.005684085483890076,-0.18957675156891451,0.03484827867391284,-0.08313288238417935,-0.17228560920021838,0.030180899254409147,-0.08651917846120107,-0.08393306162990648,-0.02049268120913584,-0.1450540546628074,0.12243162840144343,-0.020978004699536663,-0.16113866159555212,0.044903627695337324,-0.046213416609984063,-0.06325891214232676,0.061615970835472385,-0.007643484396257213,-0.13436591863133834,0.14120190049815817,-0.14317241897714134,-0.1485810374829491,-0.1278725816988419,-0.1262937458738006,-0.15946029670501177,-0.07628699747853096,0.06290746383474559,-0.008360656916723245,0.01953802170141635,0.15198213718480497,0.1711248282451139,0.019645532973108035,0.1410992041701148,0.1990657324784444,0.20708641364054636,0.15414114880505606,-0.04230468212960337,-0.04315668677764569,-0.08047170990665103,-0.058823623883318514
Angry_Direct_FinalMax,0.9843737536881317,0.9737603890284805,0.9999999999999998,0.9785004081553608,0.049333018094319094,-0.14606463225638108,-0.20774558132410975,0.03699400151534916,-0.09825710961943421,-0.1966634394326039,0.05904064251782534,-0.14084290879189834,-0.17417712346961864,0.04341299032555502,-0.12830943533008468,-0.1721547028080252,0.03267826814060154,-0.08705196355025382,-0.20868925348247142,0.03601424801189872,-0.029043333304486718,-0.19304397829024958,0.04481091580494103,-0.0961540011060914,-0.2041276859070239,0.04921893724720788,-0.0898432639100121,-0.08828298881087822,-0.009462210583608003,-0.15343568297239632,0.1154898734724135,-0.033424745650706314,-0.15894918989770931,0.08493047581308208,-0.04327737508080601,-0.08475755182093352,0.059500009534078566,-0.017332363069586347,-0.15285288960501392,0.1568960712530899,-0.17358180552156574,-0.1769396489280756,-0.15635198169179418,-0.15807701421213946,-0.20721419758782855,-0.07059678312236754,0.055124074375413015,0.035868428305473966,0.03093914279229189,0.16386221068850954,0.17873196049078707,0.020363905993250112,0.16050127811027087,0.2302147224856738,0.22851434052569547,0.1747685039724399,-0.05057806122018498,-0.04800461793172544,-0.06914265993964035,-0.07620332360538612
Angry_Avert_FinalMax,0.9824018524700033,0.9817877604250242,0.9785004081553608,1.0,0.08165000531235908,-0.16117956159923197,-0.20923342360980401,0.07250756121836643,-0.10443431835063549,-0.21130788686651863,0.10623549518759727,-0.1398009753577927,-0.17579378640061255,0.07148322166063358,-0.14277487394117527,-0.16496034493144215,0.04917480827355696,-0.11585964867838598,-0.21623597660545107,0.05752224834395997,-0.04724865631467544,-0.19820152757971357,0.07249246600514823,-0.1137137969770015,-0.21202217410947558,0.06255099632706788,-0.12766703493397055,-0.06926821374862559,-0.03321708147613014,-0.16317995786685646,0.14250035632994792,-0.03113087975982229,-0.16195628253663374,0.09351793493163414,-0.08128998975091482,-0.09130633171248854,0.09312443326906295,-0.02225644355460714,-0.15130872227168268,0.1933075271782137,-0.18682718596214642,-0.1925110479224647,-0.17028252976501915,-0.1625530024180957,-0.18098599511060867,-0.062340754899152515,0.035728121154239796,0.03126664629593401,0.07516973943635945,0.2193981390101336,0.23564029311959384,0.05849091215735694,0.1808295596370881,0.25005720023646577,0.25590213257868555,0.18943814207962445,0.01119479143987773,0.008801140173193842,-0.0829941730331923,-0.0475627078067464
Fix_a_d_BG,0.08423705169008867,0.052126640197822115,0.04933301809431909,0.08165000531235907,0.9999999999999997,-0.4476111790621183,-0.15854478942519887,0.8911658019143306,-0.45936199300755637,-0.1712845703450736,0.9306476903399226,-0.37869292381415354,-0.08846064972101221,0.9185223680677147,-0.4143133630496219,-0.17359679539302258,0.9320111399053624,-0.5424391809088784,-0.13592599344613251,0.8273210026861924,-0.5518891064590823,-0.17488143821333302,0.8943408980896005,-0.478297831528617,-0.08886785676484481,0.9159650845608494,-0.49268399058513873,-0.13563390276384835,-0.4532877762737247,-0.13874382387697953,0.6916528945879277,-0.3920223224513777,-0.18448126433815287,0.7635340304992071,-0.45213854075634974,-0.15901073386955936,0.8820677525682353,-0.3725091316167667,-0.08280391716257604,0.8735146043827698,0.02688012648624255,0.01064271105005923,0.06147540428996272,0.05817626743779959,-0.34375567231656334,-0.2315704232758543,-0.03933488753863607,0.1370295932092114,0.14639973069993714,0.05233985004869424,0.007089987987589879,0.07698994184247648,0.5862467331985598,0.5783893323901322,0.545804536828517,0.5144826010678571,0.1448831290682659,0.15584709083065476,0.287856547958753,0.2965049465053005
Fix_a_d_EY,-0.14459665198297658,-0.1199987597904074,-0.14606463225638108,-0.16117956159923194,-0.4476111790621182,1.0,0.09407777784792598,-0.45295178588753315,0.9515268979754117,0.12741903624437814,-0.4509186032958764,0.9023778267361362,0.027591949898495602,-0.4038835395466281,0.890621376464393,-0.04175922373348971,-0.5233976007384413,0.8942544578044258,-0.05937006366879788,-0.5056714509027604,0.8422001670178122,0.005810159850561412,-0.5084353712232035,0.7986710654482948,-0.07508511293574137,-0.48038734701926067,0.8331159217599444,-0.16445484263704296,0.7224698624365783,-0.13505574157369105,-0.4588141523458078,0.6881513849079609,0.008631123795980668,-0.5433451967251337,0.869489404135439,-0.1152546397410228,-0.4718861240375817,0.6671337928268858,-0.1900114510768421,-0.4963384830666107,0.4752559592139773,0.470055320398125,0.47392037984153096,0.47569874224391195,0.4518199652986097,0.328182016038337,0.1935312280571877,-0.007013546656763686,-0.07695138919560114,-0.060087662574707705,-0.09113781568226959,-0.11780684728463978,-0.39861916845491246,-0.38799852887694114,-0.39218872701133733,-0.4402321988276478,-0.04658446073788201,-0.041175261771456396,-0.27353301849495354,-0.3521463993979306
Fix_a_d_MO,-0.23265465947151867,-0.18294572344554952,-0.20774558132410972,-0.20923342360980401,-0.15854478942519887,0.09407777784792595,0.9999999999999999,-0.14559394814106752,0.09268871998184909,0.8808437408066088,-0.20459051330138833,-0.08144394809283036,0.8846330968377866,-0.2124705052488409,-0.029005465324022033,0.8455991600315771,-0.17854696967061243,-0.057079575636230756,0.9431990648026236,-0.20486610835686786,-0.053756342253636444,0.8231227001304923,-0.23175161485050816,-0.23860470416460103,0.8596514257633371,-0.24396677245813264,-0.15185090162173887,0.7360688689456082,-0.09759483950801348,0.6528421800848844,-0.1457876559515376,-0.07043310775470912,0.7246578353787814,-0.24656136948399032,-0.05065591628104544,0.8191739821325066,-0.09750504813602501,-0.25994592792144133,0.6599145538036247,-0.19694634205747258,0.3127426810287978,0.2425400064572362,0.31187812312964613,0.2647984277508774,0.31310994396601116,-0.03903980517002087,0.04642001953833684,-0.17650659246771308,0.14428535954660784,0.15360738610912922,0.10532821251897818,0.2236770745629991,-0.03766578866140538,-0.05451967620957041,-0.07396516979516399,0.022513250190081317,0.18147387307824273,0.19141217728822096,-0.058489971296848325,0.10430960064160559
Fix_a_a_BG,0.07750800915784752,0.03518011244067053,0.03699400151534917,0.07250756121836645,0.8911658019143306,-0.4529517858875332,-0.14559394814106752,1.0,-0.4768779266697999,-0.1953458307733638,0.8737902029065558,-0.3770996438055797,-0.10679639458686936,0.8221491957398107,-0.4381727987033892,-0.14784817654090154,0.9143772304336989,-0.5761246055127192,-0.1218768962074555,0.9312297204747009,-0.6012542415964944,-0.1910790272480033,0.8972382420389524,-0.507028197797635,-0.1130623310534847,0.8948017645189522,-0.5199232139865697,-0.10639612804044289,-0.48164782458924144,-0.1957582602162615,0.8116766005424845,-0.38014979776613683,-0.13907092378215216,0.760012363260072,-0.48367515568251085,-0.15000894913169716,0.8343790371820593,-0.3846197201091472,-0.12244820048487334,0.8510703767653197,0.04501028468071523,0.05548322497252387,0.10937911545020305,0.11392639360272913,-0.31220569612246224,-0.21114621932199504,-0.01389903084956192,0.1186632153377836,0.06413757890033413,0.012145397776706264,-0.021715874952441247,-0.013801093794251889,0.6662124055313831,0.6157444506868027,0.5966166025477599,0.5687118684157735,0.05030940611732449,0.07014392973088436,0.30838029611294554,0.3008204963010099
Fix_a_a_EY,-0.0973360298673345,-0.07336240103615041,-0.09825710961943421,-0.10443431835063549,-0.45936199300755637,0.9515268979754117,0.0926887199818491,-0.4768779266697999,0.9999999999999998,0.14545393432580733,-0.46128672809720545,0.8846571402039564,0.04191755789022004,-0.4230799086037847,0.8876868212378123,-0.04466064792400205,-0.5397016018960482,0.8416056706093864,-0.06973022484025056,-0.5153498994835203,0.8716559921612053,0.0046229934508703,-0.5279019789583168,0.7739661353540994,-0.07599155675658623,-0.4917409148791941,0.8148742648451176,-0.18003148178442663,0.7525386455529596,-0.15411371382004282,-0.4968446410957741,0.6611204898455949,0.013249910308038203,-0.5534597663717339,0.7897451770569264,-0.1514026147720352,-0.47644694179681363,0.633841456553457,-0.19315775664384352,-0.47654642885594156,0.46725661058648166,0.42803298948036456,0.4505114832152165,0.45100390004674407,0.4632601101526741,0.31447779152079186,0.12255667207717764,0.045556781119594665,-0.08409416872836592,-0.00619022680467833,-0.0300639728541047,-0.05460167839309552,-0.4047526388705301,-0.35682359999089996,-0.35333910867110374,-0.40300540202574003,0.001405020306901191,0.008800151087681396,-0.26237535719668315,-0.3981279582073263
Fix_a_a_MO,-0.24338055542882955,-0.18425736866804726,-0.19666343943260392,-0.21130788686651863,-0.17128457034507366,0.12741903624437811,0.8808437408066088,-0.1953458307733638,0.14545393432580733,1.0,-0.20991857806333006,-0.004111501802205482,0.8651706155363822,-0.2087231834533386,0.044431162046878844,0.8090711642888532,-0.20318796448548224,-0.03352184944580566,0.7895663813521077,-0.2440629606959951,-0.023071254727555054,0.8923944588400324,-0.23406382971208706,-0.1837371547843647,0.8005451193085239,-0.24911001313569822,-0.0910290612835665,0.6644142030303632,-0.027156352662097635,0.7662821506269253,-0.21455700901142405,-0.07378799617440802,0.7178707001797183,-0.22037478393736532,-0.022046375400298825,0.6954976201943003,-0.12813246692547142,-0.1901244140730192,0.6100534425422083,-0.19269007538292776,0.24843538110103836,0.16892246946336867,0.23012859910383843,0.2044210041972669,0.3428578245548324,-0.06765362627314102,0.09965098867286351,-0.07045508792040961,0.053032380980957444,0.05214044652124057,0.09987537127711554,0.10542717038352475,-0.13933297629567035,-0.1316805316238509,-0.11006364711540466,-0.061960217530724525,0.09946865134034348,0.11216433590006426,0.052617996228582826,0.022142339616045715
