,Calm_Direct_FinalMax,Calm_Avert_FinalMax,Angry_Direct_FinalMax,Angry_Avert_FinalMax,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-a_a,meanRT-c_a,meanRT-a_d,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR
Calm_Direct_FinalMax,1.0,0.9822789154483005,0.9843737536881315,0.9824018524700032,0.09452944399287265,-0.10559989792710565,-0.20580599369876845,0.07804377000257594,-0.06036846761789473,-0.2144895192914812,0.10309846136861947,-0.1135856762292007,-0.17848589039258397,0.06320399825077244,-0.08522718874009011,-0.18860468128021377,0.08515222491931697,-0.05556611696913353,-0.2109991045912404,0.08538307717195386,0.0024837023695044886,-0.22017630014913242,0.0967334806745131,-0.07935391668826156,-0.20371145076793196,0.08713379825345707,-0.05496049268973453,-0.11513609284931664,0.014606301077015542,-0.16520677566506065,0.15798010262347106,0.00794014162018317,-0.18185357401192281,0.10827085903295078,-0.01605694455974255,-0.09359183490334237,0.11520353738870351,-0.007198847346703213,-0.1531327866663599,0.20887008741169277,-0.17130901817759972,-0.18854884549003506,-0.15652639936580992,-0.15997595481697605,-0.1666195684194458,-0.011108131318474802,-0.0003874908267019012,0.01070057608545998,0.031434096880848035,0.17657508620064288,0.1854033898183806,0.05340765492649039,0.20235760140781808,0.24857798550068594,0.26603963396610386,0.22436375283454785,-0.04310843080091247,-0.02508173924048835
Calm_Avert_FinalMax,0.9822789154483005,1.0,0.9737603890284805,0.9817877604250237,0.06321382230212134,-0.08220884570290495,-0.1576063725610613,0.037210101922419914,-0.03752487301002614,-0.1571798752199448,0.06623892964759082,-0.09772160216916949,-0.12428392382309718,0.025374573068405216,-0.07690210377909565,-0.1353178784931742,0.03900700175486044,-0.024659847829424635,-0.16162910759695664,0.033016647358719266,0.03379829749427974,-0.16254178226710128,0.04645883797249642,-0.05954294460378363,-0.15018175051348745,0.032152560216616374,-0.040890044397167584,-0.06263786215112173,0.016647194514773356,-0.12089082345900395,0.12333466253288691,0.01741874848804478,-0.13514728517481633,0.05062124002854988,-0.010205309976655072,-0.03736322694410711,0.08088031886296038,-0.006603459232731091,-0.11756716501959041,0.15987326755385362,-0.14317241897714125,-0.14858103748294912,-0.12787258169884186,-0.12629374587380052,-0.15183504598517697,-0.018718891564148323,0.04092490277567085,-0.017805906137562465,-0.000280078504463613,0.15443561993096452,0.1732033165296835,0.026439096332145282,0.12837346321501053,0.18324444605053686,0.20365509705672666,0.15704643804625976,-0.054192972842945324,-0.034064252132829854
Angry_Direct_FinalMax,0.9843737536881315,0.9737603890284805,1.0,0.9785004081553607,0.060872177619979144,-0.10721415662105735,-0.18148135403722826,0.03956484296263058,-0.0612970169179994,-0.16897689535685612,0.06729140960186848,-0.12062044369525038,-0.15460393186625157,0.04092898254645145,-0.08475335942349335,-0.14476324995759382,0.05109077593010237,-0.048510737158402664,-0.18199305591117645,0.04110137399050315,0.011540025690463841,-0.16566697806545072,0.05654537484661404,-0.07230782469116516,-0.1810752933520327,0.051142927950303424,-0.04382073713653571,-0.06673953993012414,0.027421293047325802,-0.12889598438558048,0.11682775475876321,0.005760137442334968,-0.13283752570132298,0.09002459791796166,-0.007089811934260514,-0.05810811055145394,0.07907187199705652,-0.016242627847662214,-0.13552071209036412,0.17552373512756037,-0.1735818055215658,-0.17693964892807554,-0.15635198169179407,-0.15807701421213957,-0.19725461304235334,-0.013478041321561704,0.0325548673416725,0.025583490088108306,0.010487012417732314,0.1663011006029498,0.18087095392796615,0.02757246996038323,0.14728565620102205,0.21379910024962973,0.22482290552194947,0.1775247972514214,-0.06147844756379774,-0.038490711224900664
Angry_Avert_FinalMax,0.9824018524700032,0.9817877604250237,0.9785004081553607,1.0,0.0914031194609941,-0.12252008388759143,-0.1838470659422462,0.07250432475445984,-0.0682223608083331,-0.18414923952205894,0.11181363140679515,-0.1197468763915529,-0.15683828589992715,0.06661800166021573,-0.09975871823679383,-0.13841832545439145,0.06649297568206786,-0.07676586992210188,-0.19016537994055002,0.060858935109960835,-0.0066984533354309,-0.1715193456680612,0.08257672180608266,-0.089323556074624,-0.18943958441185207,0.0629098319072743,-0.08102865956506647,-0.04868916376040022,0.0038836194595319317,-0.13900326549698694,0.14258566571113626,0.006911211572230391,-0.13640407858439227,0.09766530937752414,-0.044754077861309256,-0.06510549554124397,0.11110097349933455,-0.020723418653197375,-0.1344583499819105,0.20969697312710298,-0.1868271859621463,-0.1925110479224646,-0.17028252976501915,-0.16255300241809564,-0.17363953151015415,-0.0059467258839497805,0.016640703022106917,0.020514515449506807,0.054559923202868656,0.2200186018348034,0.23601288606274776,0.06365008760681826,0.16752507454823953,0.2329421538710276,0.2511512373271182,0.190928588997682,-0.0036560996514748726,0.016242277732303998
Fix_a_d_BG,0.09452944399287265,0.06321382230212134,0.060872177619979144,0.0914031194609941,1.0,-0.4296127780328156,-0.14754374604884832,0.8893127863089774,-0.4384395843932136,-0.15988066776625978,0.9305538429767662,-0.373064047084712,-0.08130385389189376,0.9139013614690326,-0.39086500216278475,-0.16426151435046163,0.9308136064077125,-0.5227741140370973,-0.12616786213666048,0.8283999058964482,-0.5269106628236443,-0.16422205167957057,0.8955195934357529,-0.4710184303040113,-0.08164515726167614,0.9148749887185904,-0.46604166203803893,-0.12811119991497016,-0.43320069366782993,-0.13068961802704104,0.6933631095479107,-0.3688793889870372,-0.17537108268652454,0.7652761734706999,-0.4303855285212627,-0.14924208842734651,0.8813709091268176,-0.37350546975012794,-0.07774224649314745,0.8741498660044157,0.027230769990970627,0.021901395896914665,0.06402081541119488,0.059814161909288566,-0.3211979977776857,-0.2136810165931523,-0.06387270665871202,0.1406092016015942,0.13357239812278854,0.05982896937252399,0.014496975215512981,0.08761791045880041,0.5794854653340626,0.5756859343026334,0.547928160078549,0.5195804370237158,0.15348588648197678,0.16288236742021606
Fix_a_d_EY,-0.10559989792710565,-0.08220884570290495,-0.10721415662105735,-0.12252008388759143,-0.4296127780328156,1.0,0.10933235874636743,-0.4411721179325473,0.9523367823723726,0.14333977787235624,-0.43454904589438403,0.9003865746261204,0.04002767837232989,-0.39709494729549105,0.8934459028053978,-0.021229573350999443,-0.49723773091452567,0.8973125083501005,-0.04024016414429152,-0.4920256267976036,0.8472773972412565,0.02441348798226724,-0.48915785335076845,0.8000933577329611,-0.0582443474853129,-0.4694262011375828,0.8383678625656971,-0.14457783710833694,0.7312686059859527,-0.11455506254936017,-0.4490696279760119,0.6974007801610396,0.02734924964083922,-0.5291997724957197,0.8727211357359979,-0.09176258222151208,-0.44471706746998074,0.65828444261181,-0.17475331459911891,-0.46581187799899393,0.4722219180336148,0.4786659745869971,0.48083297655955254,0.4704808288155532,0.436475515712871,0.3573859210426265,0.17347998198199424,-0.017341470880438657,-0.0907448178765763,-0.05550251912974841,-0.0859167705661858,-0.11137132256303828,-0.4007496052393379,-0.39169069634128545,-0.3858896423013396,-0.42747423139711993,-0.0610381735859962,-0.03492613733275068
Fix_a_d_MO,-0.20580599369876845,-0.1576063725610613,-0.18148135403722826,-0.1838470659422462,-0.14754374604884832,0.10933235874636743,1.0,-0.1363446381498806,0.10888050215779395,0.8823051483456731,-0.1923900638511768,-0.07290179520145933,0.8852422732909879,-0.20371523113993967,-0.007593501088042973,0.8470270743692694,-0.16547708680192302,-0.03839723509883124,0.9437826972851303,-0.1953520503685291,-0.032127886050395967,0.8252044417176183,-0.21997770444202167,-0.22605504536866294,0.8607194718968736,-0.23478125463771612,-0.1254696663917254,0.7384090472108136,-0.07668084116164545,0.6563257453588719,-0.14019675379346896,-0.04816473569509857,0.7275050542552228,-0.2383166017729967,-0.030873273263755795,0.8209879920183443,-0.08412697068202744,-0.258985010295454,0.6617100895904515,-0.17882613664737873,0.31288472586629995,0.25300294838450704,0.3172283224594838,0.2649600415194642,0.31287604712525535,-0.012677398808893275,0.027757211843537594,-0.17672105438419625,0.1305544744225764,0.15746986144260988,0.10949038995547865,0.22799035780338914,-0.042439906284921815,-0.05743253861517891,-0.07049495613633386,0.028958659542864394,0.17507429194035126,0.19600144838975214
Fix_a_a_BG,0.07804377000257594,0.037210101922419914,0.03956484296263058,0.07250432475445984,0.8893127863089774,-0.4411721179325473,-0.1363446381498806,1.0,-0.45909498196145293,-0.18557373841384206,0.8757618376980276,-0.37580141778109794,-0.10106829899764604,0.8267591360747704,-0.4191492097299176,-0.1431455465903232,0.9046320084843653,-0.5632496003856876,-0.11513506878826824,0.9318931388758698,-0.5814531688809178,-0.18275836543306684,0.8950378296148293,-0.5060533805896424,-0.1085051497520512,0.8967731095148374,-0.49935169986314365,-0.10297756360026378,-0.4676876576990069,-0.190517339198925,0.8112006087383016,-0.36195779358740604,-0.13467517890235692,0.7603320928454135,-0.46476846034607416,-0.14501335187293415,0.8259460554436334,-0.38614294522316545,-0.11945104817773346,0.8470287593783804,0.04301237400347267,0.06346676797618706,0.10421858106611198,0.11476569054614391,-0.27573259948668877,-0.2142275445118066,-0.052160613383490456,0.13097047410438561,0.05216926311110985,0.023740791875504867,-0.010467904889480862,0.004276554780223622,0.6566430872571501,0.6165702796511501,0.5990915392504722,0.5750565795028109,0.07900026719979195,0.0805297357529051
Fix_a_a_EY,-0.06036846761789473,-0.03752487301002614,-0.0612970169179994,-0.0682223608083331,-0.4384395843932136,0.9523367823723726,0.10888050215779395,-0.45909498196145293,1.0,0.16175568865232023,-0.4403611599789264,0.8818206678267437,0.05457762859109593,-0.40990038319686617,0.8910982791625796,-0.024287732085593615,-0.5124467680863585,0.8448414458576629,-0.05000532709727229,-0.49747941771556925,0.875064653070715,0.023675733453746114,-0.5056658920092916,0.7736187473902303,-0.05907015172086709,-0.47609358011829916,0.8205147520437235,-0.160098742475026,0.7596320434594701,-0.1334761670082748,-0.4839889516010255,0.6719398845720485,0.031685670776300634,-0.5367474218051262,0.7959642057013064,-0.127382921649962,-0.44827025048744146,0.6242858661683018,-0.17805348646194796,-0.4438357029669446,0.4641365600409969,0.439171396618566,0.45692005330634683,0.4468038510107305,0.4537287146496342,0.34000884394266945,0.09794401119091652,0.03755736290031151,-0.09959064816733354,-0.00017195751717111684,-0.023716159190936836,-0.045876049782612977,-0.40671711877521743,-0.358465536322653,-0.3453417457228243,-0.3876747476661358,-0.007871222414207613,0.016433402556557092
Fix_a_a_MO,-0.2144895192914812,-0.1571798752199448,-0.16897689535685612,-0.18414923952205894,-0.15988066776625978,0.14333977787235624,0.8823051483456731,-0.18557373841384206,0.16175568865232023,1.0,-0.19766810639196045,0.004484885447691126,0.8658578032957206,-0.2007035052826179,0.06547217556264036,0.811271143351151,-0.18907278603688857,-0.013738289789558128,0.7921549252407225,-0.23412844336503044,-0.0005547196151483178,0.893771037741868,-0.22194759505722123,-0.17066912911237236,0.8023087868396727,-0.2401280660847707,-0.06459918964429462,0.6678018008687949,-0.006296923576184268,0.76873603504381,-0.20836563816979162,-0.04995443614482021,0.7211468602845633,-0.21227680702932394,-0.0015347331576766787,0.6994327381695474,-0.1136060729394042,-0.18927923567061197,0.6123696558042274,-0.17395874305465642,0.2490273784848012,0.181056324387799,0.2370083518234769,0.20484684621485819,0.341096393818753,-0.037176081760931484,0.07915143438484656,-0.07265726979470848,0.03985617992637202,0.056795368454275644,0.10396511396888525,0.11095431550895492,-0.14368757967561482,-0.13446206245661718,-0.10646827883735463,-0.054637505645277376,0.09387175546650095,0.117422831141179
