,Calm_Direct_FinalMax,Calm_Avert_FinalMax,Angry_Direct_FinalMax,Angry_Avert_FinalMax,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-a_a,meanRT-c_a,meanRT-a_d,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR
Calm_Direct_FinalMax,0.0,1.3152384870438604e-44,3.310483822134558e-46,1.0728966680173383e-44,0.4686668956543208,0.4179589545527016,0.1115581058800286,0.549943880670139,0.6439661982507034,0.09692627521698895,0.429132715075401,0.38342379249469055,0.16874121626551555,0.6284490431302181,0.5137145831616242,0.1454823401550589,0.5140863099167666,0.670591817377031,0.10261674515371715,0.5129420082176267,0.9848434615499702,0.08818517132499373,0.45831486503426117,0.5432458548764616,0.11532942388320962,0.504306210196353,0.6739792454471466,0.37692205917078686,0.9110416711461522,0.2032394314425094,0.2239881800162805,0.951572269592276,0.16071672685915261,0.40621437024359935,0.9022479089434473,0.4731086257906842,0.3766407399722749,0.9560888192951537,0.23870612898675972,0.10621277581029348,0.18681197118733261,0.14560375362159436,0.2283340745971721,0.21811587483955866,0.19934796308517458,0.932289181281057,0.9976352418511611,0.9347679751177439,0.8099515706112587,0.17342251422949576,0.15256617943830247,0.6826940471707593,0.11781857075875904,0.05339269679873197,0.038232048119031976,0.0821540626425093,0.7414939065707526,0.8478423574457485
Calm_Avert_FinalMax,1.3152384870438604e-44,0.0,1.248137668165592e-39,2.926137645708832e-44,0.628395554031991,0.5287887664108161,0.22509991533670215,0.7758690247463031,0.7740230503492123,0.22637330226199961,0.6120162528785696,0.4537147008398082,0.33992482590716283,0.8460873989011786,0.555812697135516,0.29843560081436477,0.7653479902258002,0.8503720511920675,0.21333418028829457,0.800575502121403,0.7959547132838222,0.21072610851425985,0.7221846971495047,0.6485127436712899,0.24798508581005582,0.8056915427386151,0.754367693645412,0.6315346928189655,0.8986731110180102,0.35337431014370757,0.34365485757053155,0.8940032908569518,0.29905082961588597,0.6984350510000634,0.9377810630466195,0.7749708685704231,0.5354924967043747,0.9597173952762145,0.366861635455901,0.21841535028567213,0.27100044775433213,0.2531197583464503,0.32605316898944814,0.3321112400706081,0.24275677992704695,0.8861423649957211,0.7541648772027484,0.891661362379467,0.9982907508222776,0.23468657107278268,0.1819124506393664,0.8397140175621646,0.32414598071268913,0.15748585428242867,0.11543222391852909,0.22677273007755802,0.6782814639785427,0.7943840802239267
Angry_Direct_FinalMax,3.310483822134558e-46,1.2481376681652762e-39,0.0,3.735981838896177e-42,0.6411983786760267,0.41083770580577716,0.16158957959514295,0.762090235376942,0.6388677130693977,0.19297343559553268,0.6063611274736583,0.3544599481890073,0.2341707150441501,0.7541411409591223,0.5160664733704048,0.2656558937878796,0.695773461961087,0.7104428070031207,0.1603905386325165,0.7531383688046306,0.9296630528313368,0.2019659535661468,0.6651283529009695,0.5797262646444205,0.16254576022951242,0.6954780599555872,0.7373749506236734,0.6093235652068458,0.833842590556477,0.32216395619967125,0.36990410615271524,0.9648583704669847,0.3074618820807132,0.4902120375674737,0.9567532683788624,0.6564454310326584,0.5446844378167796,0.9011231225112749,0.2977051728649384,0.17603820616767327,0.1809447422122481,0.17252214738561036,0.22885940617990516,0.22370052256911094,0.12757107335236273,0.9178885536631741,0.8033085621137798,0.8448358093615291,0.9360671394078204,0.20022050151129325,0.16302850313682585,0.8329396699700776,0.2573274685204041,0.0980319138240913,0.08151308330540159,0.1710841254209344,0.6378734419965845,0.7683667011975146
Angry_Avert_FinalMax,1.0728966680173383e-44,2.9261376457077463e-44,3.735981838896177e-42,0.0,0.483564460192404,0.34687588754632337,0.15610100825862028,0.578693912924039,0.6013780598845572,0.15540999838015052,0.39093629930706747,0.35798153144135186,0.2273967853688065,0.6099768245840796,0.44431156452755655,0.2873976792047744,0.6106491461973318,0.5565150008541961,0.14211912456304468,0.6412710825584267,0.9591383999856592,0.18626332895480013,0.5269398549876695,0.49361091239555116,0.14367586249401665,0.6300515727292358,0.5347419073089016,0.7094248813166575,0.9763026180217241,0.2853457286343757,0.27298969796405603,0.9578417012039461,0.2945376486014697,0.45397608628672853,0.7319889698787864,0.6181316411203752,0.39398196904472815,0.8740442141313814,0.30154379419275373,0.10480472983578357,0.14938465703086165,0.13717424526250596,0.18950627345057874,0.21069418612165847,0.18079747817611072,0.9637207784480785,0.8987124154226461,0.8753037418074974,0.6762232929429925,0.08841891858147746,0.06707844576763755,0.6260221364863283,0.19688185486073695,0.07081837025272944,0.05089176154158456,0.14049578874432941,0.9776905531796274,0.9011252431724481
Fix_a_d_BG,0.4686668956543208,0.628395554031991,0.6411983786760267,0.483564460192404,0.0,0.0005499203668688208,0.2564853814869281,1.0365612677707246e-21,0.00040897008299081434,0.2183937588083608,2.000210854954364e-27,0.0030649024303872484,0.5333508219326701,8.941241770651883e-25,0.0018424945930203258,0.20587301484036422,1.7975081222443756e-27,1.5459789937672958e-05,0.33259729270717414,1.748245920934863e-16,1.2863014810865208e-05,0.20598348417665197,2.0671396636951336e-22,0.00012754720230887548,0.53162804042569,6.482844288589879e-25,0.00015356383483634858,0.3251437064888244,0.00048802575438460936,0.31541911848873466,5.886736554749376e-10,0.003440532894250513,0.1764203653182845,6.892268920329729e-13,0.0005360177870674551,0.2509906010450869,7.130637372699993e-21,0.0030274860460739856,0.5514909888528798,3.6671405154487707e-20,0.8349808142673059,0.8669478137804814,0.6240082244972931,0.647017602774597,0.011602570926239886,0.09822199234863631,0.6248124713590576,0.2797618877467076,0.30476943568646914,0.6469360134833569,0.9117048453552032,0.5019314839347697,9.914300702508536e-07,1.211316491203291e-06,4.863313834876788e-06,1.778897643570461e-05,0.2376120845831091,0.2097586296072507
Fix_a_d_EY,0.4179589545527016,0.5287887664108161,0.41083770580577716,0.34687588754632337,0.0005499203668688263,0.0,0.4016006603850971,0.00037253505293448043,4.101375808527701e-32,0.27043483478401625,0.0004664517127711559,5.430157025708648e-23,0.7593904194199582,0.0015315868552250329,3.5818213738258027e-22,0.8709937809133893,4.569347437343966e-05,1.2731742034363197e-22,0.7581518994731865,5.641397675332942e-05,7.442823922155062e-18,0.8518499400007398,6.325873437189326e-05,1.0309146530694702e-14,0.6556905843326676,0.00013539351627754611,3.4721786578057914e-17,0.26627513938943254,2.1940514840300153e-11,0.3793508311364079,0.000283215116834819,4.248183805403909e-10,0.8342729528494712,1.1606388474986366e-05,5.010309892756223e-20,0.4818389101168455,0.0003296747025046407,8.136544185016547e-09,0.17797307553732594,0.00015487503717388562,0.00012189598818130039,9.53569592735342e-05,8.770270388581748e-05,0.00013014849771179733,0.00043712965706247975,0.004690396002299741,0.1812047144253597,0.8944708539310133,0.48673299553823485,0.6709472331277115,0.5103015247189253,0.3928249408447797,0.001371937547890622,0.0017982772751014991,0.002130141789375304,0.000590117467144209,0.640287314078336,0.7892997028992507
Fix_a_d_MO,0.1115581058800286,0.22509991533670215,0.16158957959514295,0.15610100825862028,0.2564853814869281,0.4016006603850971,0.0,0.2947500933922768,0.4035608556037525,5.7246952299965785e-21,0.1374260854125846,0.5766083009237529,2.8350833160503346e-21,0.11532253026702916,0.9536840972501138,7.782268575225366e-18,0.20249073453410008,0.7689136164789182,4.733749702854227e-30,0.13135962977644752,0.805837752386072,2.8719219160415796e-16,0.08847961785186542,0.07981253877918353,5.993889469456514e-19,0.06855899322068025,0.3353012324489819,1.1091144478011126e-11,0.5569535490096426,9.326733337691726e-09,0.2811890141022391,0.7124181825790866,3.1164378466640494e-11,0.06437803805149105,0.8132807191553532,5.445527745829175e-16,0.5191839336566608,0.043860581604526244,6.392868494220732e-09,0.16791742746383337,0.014083014360593267,0.04915189974353794,0.01273541557616183,0.03905245364032592,0.014085825106387954,0.9227509109715741,0.8318365705048387,0.1730616042906999,0.3159241453611868,0.22550695099499396,0.4009164228541313,0.07719835437006096,0.7453662695762984,0.6601936039208742,0.5892899764898271,0.8246706529515578,0.17716509254264462,0.1300570538990501
Fix_a_a_BG,0.549943880670139,0.7758690247463031,0.762090235376942,0.578693912924039,1.0365612677707246e-21,0.00037253505293447604,0.2947500933922768,0.0,0.00019804856593969134,0.15218290546136776,2.5669359136072358e-20,0.002839343472270297,0.4383243569111656,2.258602546394099e-16,0.0007732400839303634,0.2710913403043897,1.5974964834604622e-23,2.2934864198772984e-06,0.3769263316241032,1.1478032656971423e-27,8.928436415245625e-07,0.15860948007812745,2.3511319334499035e-22,3.174051979146211e-05,0.40519340489526334,1.4744058450474444e-22,4.1908712114834906e-05,0.4296770083324419,0.00014446491049536657,0.1413687767793187,2.259174173735081e-15,0.0041519483200580555,0.30075773273948336,1.1807259146523098e-12,0.00016095913077470822,0.2648221300979103,2.5617264972666926e-16,0.0021145808977294446,0.3591789388447604,7.779934746762998e-18,0.742049916536248,0.6270189937474969,0.42410843365050044,0.37846930081031854,0.0314861398815814,0.09734465274478044,0.6897226968527839,0.3143712229231245,0.6896738539661028,0.8558879465981816,0.9361833836913791,0.9739057684131674,9.123322535659019e-09,1.2190492817534507e-07,3.3834075492108176e-07,1.2518783822719698e-06,0.5450499548974784,0.5372684660005407
Fix_a_a_EY,0.6439661982507034,0.7740230503492123,0.6388677130693977,0.6013780598845572,0.00040897008299081434,4.101375808527701e-32,0.4035608556037525,0.00019804856593969134,0.0,0.21297111111823647,0.00038302699699683705,6.416719127816381e-21,0.6761240454382694,0.0010357310113348378,6.584323358555666e-22,0.8526045332017311,2.4215515484560407e-05,1.1448881372845238e-17,0.7019318665470053,4.5245320806309555e-05,2.99693828518221e-20,0.8562786708621606,3.225977518456554e-05,2.6956430932486276e-13,0.6511224121284477,0.00010523865366655372,5.844848457208007e-16,0.2177581565388111,1.2729137156524645e-12,0.3051211397096471,7.756243459892826e-05,3.0528865111183765e-09,0.8084592673593457,8.22563386147458e-06,1.7695861959394035e-14,0.3279244848146271,0.00029127169083390366,7.613779036483698e-08,0.16979239140133834,0.00033988892019888,0.0001647494030795674,0.00039890712594873955,0.00021422996789223812,0.0003065966655202151,0.000240169476546075,0.0073402149796585265,0.45268279398745553,0.7738325841282033,0.44508323420729434,0.9989505857228852,0.8560358801664294,0.7255314729486724,0.0011431609414068488,0.004557976692040167,0.006414234955836897,0.002022624281313207,0.951992118063417,0.8999676959701887
Fix_a_a_MO,0.09692627521698895,0.22637330226199961,0.19297343559553268,0.15540999838015052,0.2183937588083608,0.27043483478401625,5.7246952299965785e-21,0.15218290546136776,0.21297111111823647,0.0,0.1267587530795637,0.9726350727377595,2.132935525174265e-19,0.12091523796958398,0.616150387716309,2.23679097531425e-15,0.14446742783621316,0.9163086822083918,2.8815974468141454e-14,0.06935428439153263,0.9966146920744973,3.2885103626615743e-22,0.08559289904255103,0.18848828055794178,7.674725428637216e-15,0.062316633553028876,0.6208717748731702,4.13103630342763e-09,0.9615858899122934,4.691814541242472e-13,0.10707891659777927,0.7022210738357904,5.565585189692184e-11,0.10050438550533715,0.9906341093537099,3.5977028078370575e-10,0.3833378261545864,0.1440215017657541,1.5668246100075868e-07,0.17998470689525664,0.052948866891796946,0.1625905292831438,0.06590062566330729,0.11327315304699719,0.007142423279285074,0.7760686100092269,0.544278439267107,0.5778909690407034,0.7603904745659449,0.6637363490790434,0.425242413145471,0.3946104694993403,0.26926191329931404,0.30153032429941534,0.4141193559728148,0.6757884454093169,0.47178020169258544,0.36745433277217554
