Type,Feature_1,Feature_2,r,p_fdr,significant
feature-feature,Calm_Direct_FinalMax,Calm_Avert_FinalMax,0.9826682408754885,7.683569757631657e-41,True
feature-feature,Calm_Direct_FinalMax,Angry_Direct_FinalMax,0.9847626120991244,3.353681697769675e-42,True
feature-feature,Calm_Direct_FinalMax,Angry_Avert_FinalMax,0.9829556391019021,5.986592870381515e-41,True
feature-feature,Calm_Avert_FinalMax,Angry_Direct_FinalMax,0.9737062462209285,6.137483413815377e-36,True
feature-feature,Calm_Avert_FinalMax,Angry_Avert_FinalMax,0.9821751028876704,1.4150384717985543e-40,True
feature-feature,Angry_Direct_FinalMax,Angry_Avert_FinalMax,0.9788875365582894,1.4446718144373593e-38,True
feature-feature,Fix_a_d_BG,Fix_a_d_EY,-0.44716470338257785,0.0022171646011969258,True
feature-feature,Fix_a_d_BG,Fix_a_a_BG,0.8913024701944261,5.356058426066643e-19,True
feature-feature,Fix_a_d_BG,Fix_a_a_EY,-0.45951072059093984,0.0015362379870738278,True
feature-feature,Fix_a_d_BG,Fix_c_d_BG,0.9312594082978786,6.638326868174325e-24,True
feature-feature,Fix_a_d_BG,Fix_c_d_EY,-0.3831262288440402,0.0125945324831522,True
feature-feature,Fix_a_d_BG,Fix_c_a_BG,0.9178044055800703,5.920864751804201e-22,True
feature-feature,Fix_a_d_BG,Fix_c_a_EY,-0.42005598385252535,0.004950267326892162,True
feature-feature,Fix_a_d_BG,Dwell_a_d_BG,0.9313342646394823,6.638326868174325e-24,True
feature-feature,Fix_a_d_BG,Dwell_a_d_EY,-0.5409252671144066,9.050602107946836e-05,True
feature-feature,Fix_a_d_BG,Dwell_a_a_BG,0.8258590013075338,4.924737607842863e-14,True
feature-feature,Fix_a_d_BG,Dwell_a_a_EY,-0.5474759789493152,6.942657785422864e-05,True
feature-feature,Fix_a_d_BG,Dwell_c_d_BG,0.8937678333221546,3.246782133019905e-19,True
feature-feature,Fix_a_d_BG,Dwell_c_d_EY,-0.4773030637706722,0.0008885012221071147,True
feature-feature,Fix_a_d_BG,Dwell_c_a_BG,0.9153882423762887,1.233311160132525e-21,True
feature-feature,Fix_a_d_BG,Dwell_c_a_EY,-0.4947024558799138,0.0005036358539490937,True
feature-feature,Fix_a_d_BG,pctFirstFixa_aEY,-0.45403452554058427,0.0018062447124053253,True
feature-feature,Fix_a_d_BG,pctFirstFixa_aBG,0.6889088725990511,2.953903133348376e-08,True
feature-feature,Fix_a_d_BG,pctFirstFixc_aEY,-0.39912937235113083,0.008504583023842915,True
feature-feature,Fix_a_d_BG,pctFirstFixc_aBG,0.7635581002885418,5.961446198817609e-11,True
feature-feature,Fix_a_d_BG,pctFirstFixa_dEY,-0.454912013961019,0.0017670789599147476,True
feature-feature,Fix_a_d_BG,pctFirstFixa_dBG,0.8816307093008656,4.337525188014377e-18,True
feature-feature,Fix_a_d_BG,pctFirstFixc_dEY,-0.3781067538340564,0.014195397130963846,True
feature-feature,Fix_a_d_BG,pctFirstFixc_dBG,0.8738818434149273,2.0033276617313347e-17,True
feature-feature,Fix_a_d_BG,msTotal.a_a,-0.3456653771065029,0.029242784650100783,True
feature-feature,Fix_a_d_BG,pctOnBackground.a_a,0.5839131262026729,1.3853321077972433e-05,True
feature-feature,Fix_a_d_BG,pctOnBackground.a_c,0.5798428368245971,1.671344974321772e-05,True
feature-feature,Fix_a_d_BG,pctOnBackground.d_a,0.5497236976393436,6.344279899922429e-05,True
feature-feature,Fix_a_d_BG,pctOnBackground.d_c,0.5127283649615016,0.0002685725342980803,True
feature-feature,Fix_a_d_BG,ARI_6_P,0.2995081179477441,0.07244806626969282,True
feature-feature,Fix_a_d_BG,SCARED_P,0.28993570233278426,0.08621156098691775,True
feature-feature,Fix_a_d_EY,Fix_a_a_BG,-0.44965021265799293,0.0020592436542252626,True
feature-feature,Fix_a_d_EY,Fix_a_a_EY,0.9513010705203347,1.5012085310944413e-27,True
feature-feature,Fix_a_d_EY,Fix_c_d_BG,-0.449537600520884,0.0020610789081710293,True
feature-feature,Fix_a_d_EY,Fix_c_d_EY,0.9056670056908506,1.6940118568968247e-20,True
feature-feature,Fix_a_d_EY,Fix_c_a_BG,-0.40385037452183453,0.007566175598046529,True
feature-feature,Fix_a_d_EY,Fix_c_a_EY,0.8934950618696964,3.4018300146190866e-19,True
feature-feature,Fix_a_d_EY,Dwell_a_d_BG,-0.523652366900413,0.00017949176234205113,True
feature-feature,Fix_a_d_EY,Dwell_a_d_EY,0.8955643808624887,2.2165525755595298e-19,True
