Feature_1,r,p_fdr
Fix_a_d_BG,0.28993570233278426,0.08621156098691775
Fix_a_d_EY,-0.35335102561547094,0.025151522372475588
Fix_a_a_BG,0.29428120774338623,0.0799910081034941
Fix_a_a_EY,-0.40002160095740535,0.008328499332888996
Fix_c_a_EY,-0.3057374443990025,0.06455578390428099
Dwell_a_d_BG,0.35137600500060123,0.026000350279863253
Dwell_a_d_EY,-0.37509307755431304,0.015184685717521648
Dwell_a_a_BG,0.3294397552640754,0.040973823235093056
Dwell_a_a_EY,-0.39473636765470455,0.009517194015029226
Dwell_c_d_BG,0.30682135890398055,0.06361842524078928
Dwell_c_a_EY,-0.3281888595670189,0.04139083335716135
pctFirstFixa_aEY,-0.39884417921272514,0.008536717337681188
pctFirstFixa_dEY,-0.31475834463066,0.054206665253002974
pctFirstFixa_dBG,0.35291019996992234,0.025190561910816294
pctFirstFixc_dBG,0.2916444132300635,0.08370109376814196
meanRT-c_a,-0.30098864244567924,0.06424912298330555
ARI_6_P,0.4585735737560156,0.0012675412291322402
SCARED_P,0.9999999999999999,0.0
