Feature_1,p_fdr
Calm_Direct_FinalMax,0.7211242353652446
Calm_Avert_FinalMax,0.7251330210222614
Angry_Direct_FinalMax,0.768068176430334
Angry_Avert_FinalMax,0.7260398113945874
Fix_a_d_BG,0.07244806626969282
Fix_a_d_EY,0.09076087949710705
Fix_a_d_MO,0.768068176430334
Fix_a_a_BG,0.041210153192749024
Fix_a_a_EY,0.11299106139252069
Fix_a_a_MO,0.8691156076720106
Fix_c_d_BG,0.0993297288546231
Fix_c_d_EY,0.4568220545107212
Fix_c_d_MO,0.8946531030913836
Fix_c_a_BG,0.04104410023475328
Fix_c_a_EY,0.321447198447749
Fix_c_a_MO,0.9286885274462854
Dwell_a_d_BG,0.037646356071413326
Dwell_a_d_EY,0.021348212755084008
Dwell_a_d_MO,0.9352977032539065
Dwell_a_a_BG,0.02876520951919247
Dwell_a_a_EY,0.06494358466124116
Dwell_a_a_MO,0.7421717488183306
Dwell_c_d_BG,0.08972158260528827
Dwell_c_d_EY,0.3945259086417992
Dwell_c_d_MO,0.7945601677390767
Dwell_c_a_BG,0.031633070843600675
Dwell_c_a_EY,0.19827316949859425
Dwell_c_a_MO,0.8710153692064719
pctFirstFixa_aEY,0.22904888313935684
pctFirstFixa_aMO,0.34587348970226656
pctFirstFixa_aBG,0.24144657583088294
pctFirstFixc_aEY,0.27866992860677575
pctFirstFixc_aMO,0.9570631791550847
pctFirstFixc_aBG,0.005489827726478435
pctFirstFixa_dEY,0.10345725918035242
pctFirstFixa_dMO,0.9273734586132275
pctFirstFixa_dBG,0.0393472784943966
pctFirstFixc_dEY,0.2959003696193613
pctFirstFixc_dMO,0.8164641011431211
pctFirstFixc_dBG,0.011896651766694667
meanRT-a_a,0.7251330210222614
meanRT-c_a,0.7969788226352117
meanRT-a_d,0.80666663176133
meanRT-c_d,0.8421418103129367
msTotal.a_a,0.808401787839162
msTotal.a_c,0.3064019717170016
msTotal.d_a,0.7130613654221006
msTotal.d_c,0.9166642733427046
pctOffscreen.a_a,0.19101913896725461
pctOffscreen.a_c,0.18700114755212768
pctOffscreen.d_a,0.3064019717170016
pctOffscreen.d_c,0.22643706967695718
pctOnBackground.a_a,0.9700943949355522
pctOnBackground.a_c,0.8508193501215714
pctOnBackground.d_a,0.8053771734334952
pctOnBackground.d_c,0.8932352908898701
pctSamplesOffscreenL,0.5404188635526037
pctSamplesOffscreenR,0.37627737653660875
ARI_6_P,0.0
SCARED_P,0.0012675412291322402
