,ARI_6_P,Angry_Avert_FinalMax,Angry_Direct_FinalMax,Calm_Avert_FinalMax,Calm_Direct_FinalMax,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,SCARED_P,meanRT-a_a,meanRT-a_d,meanRT-c_a,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctFirstFixa_aBG,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_dBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixc_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR
ARI_6_P,,0.7260398113945874,0.768068176430334,0.7251330210222614,0.7211242353652446,0.02876520951919247,0.06494358466124116,0.7421717488183306,0.037646356071413326,0.021348212755084008,0.9352977032539065,0.031633070843600675,0.19827316949859425,0.8710153692064719,0.08972158260528827,0.3945259086417992,0.7945601677390767,0.041210153192749024,0.11299106139252069,0.8691156076720106,0.07244806626969282,0.09076087949710705,0.768068176430334,0.04104410023475328,0.321447198447749,0.9286885274462854,0.0993297288546231,0.4568220545107212,0.8946531030913836,0.0012675412291322402,0.7251330210222614,0.80666663176133,0.7969788226352117,0.8421418103129367,0.808401787839162,0.3064019717170016,0.7130613654221006,0.9166642733427046,0.24144657583088294,0.22904888313935684,0.34587348970226656,0.0393472784943966,0.10345725918035242,0.9273734586132275,0.005489827726478435,0.27866992860677575,0.9570631791550847,0.011896651766694667,0.2959003696193613,0.8164641011431211,0.19101913896725461,0.18700114755212768,0.3064019717170016,0.22643706967695718,0.9700943949355522,0.8508193501215714,0.8053771734334952,0.8932352908898701,0.5404188635526037,0.37627737653660875
Angry_Avert_FinalMax,0.7260398113945874,,1.4446718144373593e-38,1.4150384717985543e-40,5.986592870381515e-41,0.807020784305281,0.8387835641330667,0.3128556476634952,0.8316206975708251,0.583050988486516,0.2648161006922532,0.7943805816556873,0.5573408071515339,0.7761704199818408,0.7568034036102472,0.5836832397499151,0.2766882831380367,0.7632586055128228,0.6512786596223041,0.2766882831380367,0.7211242353652446,0.4217182913758211,0.28499320608503187,0.7568034036102472,0.5153722041891288,0.40531152361547496,0.6183821268076514,0.4989486048312193,0.37398219218875467,0.8495626889824766,0.3179020346294352,0.3689364394636638,0.30348459593624705,0.39208130999903484,0.34808073214934904,0.7774747076661752,0.8726333476034138,0.9004702990529394,0.48040803102936724,0.9023331840870873,0.3945259086417992,0.681773969555216,0.7632318846608231,0.7012322880539191,0.67820279579055,0.928235570194358,0.4251640202250679,0.3140692797072784,0.9273734586132275,0.45535230309662367,0.7525471160664263,0.22904888313935684,0.20610863195290996,0.80666663176133,0.35150733322081035,0.1567330989895827,0.15815741917587858,0.32567364634896284,0.9467899467005466,0.9630826602971929
Angry_Direct_FinalMax,0.768068176430334,1.4446718144373593e-38,,6.137483413815377e-36,3.353681697769675e-42,0.8682198541590124,0.8930476484111436,0.3178639548789101,0.8794854881188165,0.7049955652887959,0.28157255852961854,0.8316206975708251,0.7049955652887959,0.7108431216205255,0.8424038085683792,0.6629611668710573,0.2939016717607265,0.8688208045634063,0.6661843421008969,0.3064019717170016,0.8277894250085974,0.46993573886815354,0.28188305729601015,0.8470882265719889,0.5538815220315683,0.38185634204927743,0.7965412939228417,0.49349403908178924,0.3764905866344537,0.7568034036102472,0.36412401666454236,0.42071336128216946,0.35297541428839185,0.4151174207819009,0.2779640832899135,0.7457936453950429,0.8164641011431211,0.8839248932423325,0.5790724005281059,0.972168237593056,0.4204763632811536,0.7978679403206119,0.8645374461335212,0.7218602519260624,0.7000931461705708,0.9019241441021502,0.42813197228070643,0.4151174207819009,0.9412838609757611,0.4473078203409071,0.891930666768739,0.3945499883656644,0.36412401666454236,0.926686979366851,0.4105988379505584,0.20610863195290996,0.22315658261750476,0.3660318052637816,0.8424038085683792,0.8468611880726342
Calm_Avert_FinalMax,0.7251330210222614,1.4150384717985543e-40,6.137483413815377e-36,,7.683569757631657e-41,0.8932352908898701,0.9690295318055776,0.32695842179077705,0.9221150442449177,0.7945601677390767,0.3398716301601921,0.8924462345430042,0.7183193223088336,0.7251330210222614,0.8710153692064719,0.7175964372609018,0.38269386197435923,0.8726333476034138,0.7632318846608231,0.34270735986414114,0.8164641011431211,0.5751145041923207,0.35150733322081035,0.89327455856075,0.583050988486516,0.4151174207819009,0.7969788226352117,0.583050988486516,0.4893479173303146,0.8145084651594132,0.46993573886815354,0.5336645303186822,0.4458790453162919,0.5404188635526037,0.4151174207819009,0.722017073121779,0.7945601677390767,0.9630826602971929,0.5538815220315683,0.9352977032539065,0.451875510499534,0.7931304544003809,0.853920829116405,0.7978016245467041,0.8421418103129367,0.9437326907160307,0.4217182913758211,0.47600712588153227,0.9736479798678747,0.522494473402897,0.9276100748313404,0.4343313891376316,0.3865775126797788,0.9276100748313404,0.48252977174312983,0.29418677886849115,0.2837669598981363,0.43219933919509407,0.8675245125748013,0.8584107916143494
Calm_Direct_FinalMax,0.7211242353652446,5.986592870381515e-41,3.353681697769675e-42,7.683569757631657e-41,,0.7022890039375035,0.8508193501215714,0.16675120950512193,0.7586944479786051,0.6672642680464317,0.19934839660111703,0.6902709389691392,0.6594082264696347,0.5153722041891288,0.6821867227072935,0.625130653846993,0.2314817314851983,0.7251330210222614,0.6705212699133665,0.177343504892834,0.6977043686330323,0.47651069078881464,0.2112831290695955,0.7603216054865902,0.5598691322036343,0.2623363178227734,0.6371942726226361,0.5230211061711514,0.31255576205144286,0.7722681728894056,0.37642941286194603,0.42593260054195836,0.31862205141613037,0.4151174207819009,0.3643793782198354,0.727703799403054,0.9302031784637262,0.9322284763028723,0.40547574321909585,0.928813170032339,0.29683450530705296,0.6486532845579024,0.8387835641330667,0.5740261481567415,0.5984092952853609,0.9226515731499475,0.28525637440536394,0.30559689770779774,0.9756055388755704,0.38948993518649994,0.8164641011431211,0.3593446742018046,0.35684273133321087,0.8338953227516676,0.24144657583088294,0.11984781220730441,0.12216177690491174,0.22643706967695718,0.9178630537618183,0.8938347363231839
Dwell_a_a_BG,0.02876520951919247,0.807020784305281,0.8682198541590124,0.8932352908898701,0.7022890039375035,,1.5192945980756352e-05,0.2939016717607265,5.351304123531968e-25,3.3836554947382575e-05,0.3987016329013698,2.900702814659419e-19,0.00043700902377071367,0.4466195427787273,3.957622801296366e-22,0.0008780153264047371,0.4400532943641629,9.255400385992553e-24,0.0002434888514034886,0.19984074910238647,4.924737607842863e-14,0.0003529381138230217,0.2939016717607265,1.9525678644871086e-09,0.001035426012550592,0.28525637440536394,4.374517197838313e-12,0.004649276422750768,0.4233125084616216,0.040973823235093056,0.7632318846608231,0.9352977032539065,0.8023128729987746,0.9378806746573465,0.0804045476640436,0.3301295441800315,0.7774747076661752,0.8491499637823751,1.0876001494835211e-11,0.0008427429549505563,0.3604075622933271,5.866944828222232e-13,0.00036197624366651835,0.31467636982637376,1.4399402242857152e-09,0.008421781258273493,0.35150733322081035,4.008995231824809e-14,0.014309932408225845,0.5763179938192429,0.8156964540069226,0.8164641011431211,0.5910010295297402,0.7887156556395778,1.032178708724853e-07,1.4900756886633177e-06,5.018165491457091e-06,3.922635802873233e-06,0.7967988454367663,0.8387835641330667
Dwell_a_a_EY,0.06494358466124116,0.8387835641330667,0.8930476484111436,0.9690295318055776,0.8508193501215714,1.5192945980756352e-05,,0.5969234929431757,7.632290469664291e-06,1.0179368849589352e-24,0.40521502396275266,5.665153244244591e-05,2.2090465657438844e-20,0.28891462586281785,1.3869144530673129e-05,9.847657411585517e-19,0.42813197228070643,7.347120916079939e-06,1.6845081359040262e-17,0.8924462345430042,6.942657785422864e-05,3.0160945749636584e-15,0.8087066753116503,0.00016609040481659282,5.961446198817609e-11,0.48252977174312983,2.2040522194909224e-05,2.8477781045347053e-10,0.7049955652887959,0.009517194015029226,0.011418709341755914,0.019491181800218294,0.007566175598046529,0.016484390459613425,0.011325524905746568,0.02909297557269704,0.3841277045958762,0.8599582666115368,9.102238623361887e-05,1.151898449688494e-06,0.24470896202569817,8.578611827100049e-05,2.480357097491633e-09,0.2524435240329536,7.632290469664291e-06,7.369135315488302e-05,0.7485944680569886,2.1510109360347024e-05,3.4185011618934824e-05,0.2688931301081747,0.2895638946818534,0.48378594520287566,0.6174210164790987,0.3865775126797788,0.00048181779961922603,0.0022244367112533134,0.005177027504656435,0.00039383609378312905,0.5666178148344443,0.5270050159072004
Dwell_a_a_MO,0.7421717488183306,0.3128556476634952,0.3178639548789101,0.32695842179077705,0.16675120950512193,0.2939016717607265,0.5969234929431757,,0.36412401666454236,0.6639080140492776,1.2000285809003587e-14,0.23805584587337103,0.28525637440536394,1.09173704312364e-10,0.3270552192487874,0.19520750661697936,1.8414026171454323e-10,0.35150733322081035,0.9836001042804521,5.661908655594003e-19,0.38019420456583575,0.983478955082086,8.679488801089628e-14,0.2837669598981363,0.6276157706715515,4.3838460465433985e-13,0.3675672455101628,0.5634705687934896,2.259998107475641e-10,0.6902709389691392,0.2868151458350335,0.3319016950047096,0.522494473402897,0.4747877441380996,0.13673674108842684,0.9219835765774552,0.6420618160739773,0.7783523866040701,0.2728228531664586,0.5148781294971185,1.1630131980131848e-10,0.5907635166508398,0.4633687801879612,2.318623116653465e-07,0.3274300593527839,0.45226997649854184,6.962122596063192e-12,0.5767779461425754,0.1532358280905348,4.721885855450433e-06,0.9249315116652562,0.872331906783105,0.7956664318457617,0.771530341516292,0.5197727900924924,0.6318594865311803,0.6595022278740087,0.8508193501215714,0.8053771734334952,0.7761704199818408
Dwell_a_d_BG,0.037646356071413326,0.8316206975708251,0.8794854881188165,0.9221150442449177,0.7586944479786051,5.351304123531968e-25,7.632290469664291e-06,0.36412401666454236,,1.9380946665989374e-05,0.48871947185930387,1.1159027065627198e-25,9.582737494913583e-05,0.5573408071515339,6.572399933584082e-25,0.0003238859233631857,0.6036032610188958,1.5430684504001092e-21,9.118273670375439e-05,0.3064019717170016,6.638326868174325e-24,0.00017949176234205113,0.36045318945846266,2.397428169489531e-13,0.0003969910769940464,0.3724200638227132,1.1877319551262265e-15,0.0016635887756038836,0.5542801336105773,0.026000350279863253,0.8145084651594132,0.9598380199776506,0.8053771734334952,0.9509959045228821,0.040973823235093056,0.22904888313935684,0.8329577233429433,0.5270585224606344,1.297315694753182e-09,0.0005385430313309005,0.5186724609946852,1.3518800515976693e-17,0.00023165223860548755,0.40521502396275266,5.961446198817609e-11,0.0017680381368844506,0.3764651600183944,5.945043951942297e-15,0.007092138893305436,0.7784218380804271,0.983478955082086,0.843392082267652,0.6406821308272715,0.8993493496111417,1.151898449688494e-06,5.864180438793296e-06,1.8110874506328956e-05,1.8366060092645476e-05,0.9836535693461538,0.9883466933859224
Dwell_a_d_EY,0.021348212755084008,0.583050988486516,0.7049955652887959,0.7945601677390767,0.6672642680464317,3.3836554947382575e-05,1.0179368849589352e-24,0.6639080140492776,1.9380946665989374e-05,,0.4204391239755272,0.0001626125164458388,4.015473998374542e-21,0.3054456861864425,5.3130922641068555e-05,1.5992353011131126e-19,0.40862469343208246,2.033917888234368e-05,4.493817381366744e-15,0.8675583744606353,9.050602107946836e-05,2.2165525755595298e-19,0.8038114418355693,0.0003832616338874993,2.0081216940283807e-12,0.5404188635526037,5.45462519266556e-05,1.5168425268721037e-11,0.6639427522934948,0.015184685717521648,0.01279458243796953,0.013748109793238908,0.002783747628773335,0.009980136408320593,0.03732658603481909,0.029399547873256587,0.1633717352897184,0.8850320461701331,0.0002546166149550335,1.0216200972283563e-06,0.3180898299378423,8.936220481712809e-05,1.4990007708704877e-13,0.35271070421925715,8.049831310804564e-06,7.13037315738264e-06,0.8180012865981569,8.140923393722135e-06,2.549777689465264e-06,0.31997420116916325,0.31720359329257775,0.32243722028892435,0.31490202886059615,0.2276631947818951,0.0011215977087718938,0.00155284803774783,0.0018409092586569582,0.0003383187040275667,0.3591778723150883,0.3596332028937172
