Feature_1,Feature_2,p_fdr
Calm_Direct_FinalMax,Calm_Avert_FinalMax,7.683569757631657e-41
Calm_Direct_FinalMax,Angry_Direct_FinalMax,3.353681697769675e-42
Calm_Direct_FinalMax,Angry_Avert_FinalMax,5.986592870381515e-41
Calm_Direct_FinalMax,Fix_a_d_BG,0.6977043686330323
Calm_Direct_FinalMax,Fix_a_d_EY,0.47651069078881464
Calm_Direct_FinalMax,Fix_a_d_MO,0.2112831290695955
Calm_Direct_FinalMax,Fix_a_a_BG,0.7251330210222614
Calm_Direct_FinalMax,Fix_a_a_EY,0.6705212699133665
Calm_Direct_FinalMax,Fix_a_a_MO,0.177343504892834
Calm_Direct_FinalMax,Fix_c_d_BG,0.6371942726226361
Calm_Direct_FinalMax,Fix_c_d_EY,0.5230211061711514
Calm_Direct_FinalMax,Fix_c_d_MO,0.31255576205144286
Calm_Direct_FinalMax,Fix_c_a_BG,0.7603216054865902
Calm_Direct_FinalMax,Fix_c_a_EY,0.5598691322036343
Calm_Direct_FinalMax,Fix_c_a_MO,0.2623363178227734
Calm_Direct_FinalMax,Dwell_a_d_BG,0.7586944479786051
Calm_Direct_FinalMax,Dwell_a_d_EY,0.6672642680464317
Calm_Direct_FinalMax,Dwell_a_d_MO,0.19934839660111703
Calm_Direct_FinalMax,Dwell_a_a_BG,0.7022890039375035
Calm_Direct_FinalMax,Dwell_a_a_EY,0.8508193501215714
Calm_Direct_FinalMax,Dwell_a_a_MO,0.16675120950512193
Calm_Direct_FinalMax,Dwell_c_d_BG,0.6821867227072935
Calm_Direct_FinalMax,Dwell_c_d_EY,0.625130653846993
Calm_Direct_FinalMax,Dwell_c_d_MO,0.2314817314851983
Calm_Direct_FinalMax,Dwell_c_a_BG,0.6902709389691392
Calm_Direct_FinalMax,Dwell_c_a_EY,0.6594082264696347
Calm_Direct_FinalMax,Dwell_c_a_MO,0.5153722041891288
Calm_Direct_FinalMax,pctFirstFixa_aEY,0.928813170032339
Calm_Direct_FinalMax,pctFirstFixa_aMO,0.29683450530705296
Calm_Direct_FinalMax,pctFirstFixa_aBG,0.40547574321909585
Calm_Direct_FinalMax,pctFirstFixc_aEY,0.9226515731499475
Calm_Direct_FinalMax,pctFirstFixc_aMO,0.28525637440536394
Calm_Direct_FinalMax,pctFirstFixc_aBG,0.5984092952853609
Calm_Direct_FinalMax,pctFirstFixa_dEY,0.8387835641330667
Calm_Direct_FinalMax,pctFirstFixa_dMO,0.5740261481567415
Calm_Direct_FinalMax,pctFirstFixa_dBG,0.6486532845579024
Calm_Direct_FinalMax,pctFirstFixc_dEY,0.9756055388755704
Calm_Direct_FinalMax,pctFirstFixc_dMO,0.38948993518649994
Calm_Direct_FinalMax,pctFirstFixc_dBG,0.30559689770779774
Calm_Direct_FinalMax,meanRT-a_a,0.37642941286194603
Calm_Direct_FinalMax,meanRT-c_a,0.31862205141613037
Calm_Direct_FinalMax,meanRT-a_d,0.42593260054195836
Calm_Direct_FinalMax,meanRT-c_d,0.4151174207819009
Calm_Direct_FinalMax,msTotal.a_a,0.3643793782198354
Calm_Direct_FinalMax,msTotal.a_c,0.727703799403054
Calm_Direct_FinalMax,msTotal.d_a,0.9302031784637262
Calm_Direct_FinalMax,msTotal.d_c,0.9322284763028723
Calm_Direct_FinalMax,pctOffscreen.a_a,0.8164641011431211
Calm_Direct_FinalMax,pctOffscreen.a_c,0.3593446742018046
Calm_Direct_FinalMax,pctOffscreen.d_a,0.35684273133321087
Calm_Direct_FinalMax,pctOffscreen.d_c,0.8338953227516676
Calm_Direct_FinalMax,pctOnBackground.a_a,0.24144657583088294
Calm_Direct_FinalMax,pctOnBackground.a_c,0.11984781220730441
Calm_Direct_FinalMax,pctOnBackground.d_a,0.12216177690491174
Calm_Direct_FinalMax,pctOnBackground.d_c,0.22643706967695718
Calm_Direct_FinalMax,pctSamplesOffscreenL,0.9178630537618183
Calm_Direct_FinalMax,pctSamplesOffscreenR,0.8938347363231839
Calm_Direct_FinalMax,ARI_6_P,0.7211242353652446
Calm_Direct_FinalMax,SCARED_P,0.7722681728894056
Calm_Avert_FinalMax,Angry_Direct_FinalMax,6.137483413815377e-36
Calm_Avert_FinalMax,Angry_Avert_FinalMax,1.4150384717985543e-40
Calm_Avert_FinalMax,Fix_a_d_BG,0.8164641011431211
Calm_Avert_FinalMax,Fix_a_d_EY,0.5751145041923207
Calm_Avert_FinalMax,Fix_a_d_MO,0.35150733322081035
Calm_Avert_FinalMax,Fix_a_a_BG,0.8726333476034138
Calm_Avert_FinalMax,Fix_a_a_EY,0.7632318846608231
Calm_Avert_FinalMax,Fix_a_a_MO,0.34270735986414114
Calm_Avert_FinalMax,Fix_c_d_BG,0.7969788226352117
Calm_Avert_FinalMax,Fix_c_d_EY,0.583050988486516
Calm_Avert_FinalMax,Fix_c_d_MO,0.4893479173303146
Calm_Avert_FinalMax,Fix_c_a_BG,0.89327455856075
Calm_Avert_FinalMax,Fix_c_a_EY,0.583050988486516
Calm_Avert_FinalMax,Fix_c_a_MO,0.4151174207819009
Calm_Avert_FinalMax,Dwell_a_d_BG,0.9221150442449177
Calm_Avert_FinalMax,Dwell_a_d_EY,0.7945601677390767
Calm_Avert_FinalMax,Dwell_a_d_MO,0.3398716301601921
Calm_Avert_FinalMax,Dwell_a_a_BG,0.8932352908898701
Calm_Avert_FinalMax,Dwell_a_a_EY,0.9690295318055776
Calm_Avert_FinalMax,Dwell_a_a_MO,0.32695842179077705
Calm_Avert_FinalMax,Dwell_c_d_BG,0.8710153692064719
Calm_Avert_FinalMax,Dwell_c_d_EY,0.7175964372609018
Calm_Avert_FinalMax,Dwell_c_d_MO,0.38269386197435923
Calm_Avert_FinalMax,Dwell_c_a_BG,0.8924462345430042
