Type,Feature_1,Feature_2,r,p_fdr,significant
feature-ARI,Fix_a_d_BG,,0.2995081179477441,0.07244806626969282,True
feature-ARI,Fix_a_d_EY,,-0.2867217151789071,0.09076087949710705,True
feature-ARI,Fix_a_a_BG,,0.3286481957142245,0.041210153192749024,True
feature-ARI,Fix_c_d_BG,,0.2818168406788764,0.0993297288546231,True
feature-ARI,Fix_c_a_BG,,0.3289793441344556,0.04104410023475328,True
feature-ARI,Dwell_a_d_BG,,0.33383467693214836,0.037646356071413326,True
feature-ARI,Dwell_a_d_EY,,-0.3606595948327823,0.021348212755084008,True
feature-ARI,Dwell_a_a_BG,,0.34658243393645854,0.02876520951919247,True
feature-ARI,Dwell_a_a_EY,,-0.30529714235544747,0.06494358466124116,True
feature-ARI,Dwell_c_d_BG,,0.28753955151200816,0.08972158260528827,True
feature-ARI,Dwell_c_a_BG,,0.3419031714193157,0.031633070843600675,True
feature-ARI,pctFirstFixc_aBG,,0.4160633091189258,0.005489827726478435,True
feature-ARI,pctFirstFixa_dBG,,0.3315243115061295,0.0393472784943966,True
feature-ARI,pctFirstFixc_dBG,,0.38539206367610335,0.011896651766694667,True
feature-ARI,ARI_6_P,,1.0,0.0,True
feature-ARI,SCARED_P,,0.4585735737560156,0.0012675412291322402,True
