Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_a_BG,Dwell_a_a_EY,pctFirstFixa_aEY,pctFirstFixa_dBG,ID
6046.5,12918.8,4719.9,12383.1,8.333,11.111,24246
0.0,34204.4,2333.9,27854.4,58.333,0.0,23710
331.0,20785.4,879.0,16024.4,12.5,2.778,23468
12712.9,8030.9,6884.4,12350.9,33.333,41.667,23998
3579.0,21924.0,3457.7,9374.8,4.167,5.556,23596
12881.6,7358.1,10889.4,8532.8,8.333,30.556,23939
5747.2,10661.3,6834.2,7244.0,12.5,38.889,22498
2068.1,36392.1,1227.0,20183.3,33.333,16.667,24074
2201.1,28865.8,1549.8,21292.0,20.833,11.111,24155
1614.7,24197.2,864.6,20106.5,20.833,8.333,24212
3975.7,51523.3,280.0,34563.0,29.167,5.556,24162
3099.2,28126.4,1608.3,18193.3,37.5,16.667,23795
3170.1,25086.8,754.4,18757.2,37.5,5.556,24254
43081.1,0.0,30759.0,0.0,0.0,55.556,22705
13173.9,7840.9,11265.1,5731.3,12.5,16.667,23636
2012.7,35047.6,284.1,23478.2,37.5,16.667,24038
4778.8,7297.9,4860.4,12122.7,12.5,11.111,24032
35954.4,2737.4,20695.5,0.0,0.0,50.0,23784
3912.0,18982.7,1013.6,12473.7,16.667,13.889,20950
1549.8,35868.1,879.0,28691.1,62.5,2.778,23179
20946.9,5152.9,11598.8,8339.6,8.333,36.111,23481
4019.7,12065.1,3671.8,5890.8,20.833,11.111,24146
2391.0,0.0,2929.4,0.0,0.0,8.333,23868
10664.9,16131.4,6233.2,11464.1,12.5,16.667,23726
1463.2,28635.1,2996.8,19585.2,16.667,8.333,24239
14680.3,5511.7,7581.2,1404.0,12.5,27.778,24104
5713.9,31025.5,3580.2,20158.3,33.333,8.333,23683
5035.4,38122.0,5856.8,31659.7,20.833,22.222,24079
20437.0,4799.6,13360.5,3188.0,8.333,36.111,23724
919.3,26095.9,318.0,20073.9,45.833,2.778,24004
6905.9,622.1,3268.8,0.0,0.0,27.778,23298
2709.3,16715.8,621.1,12681.1,16.667,13.889,24237
36865.8,1808.8,18497.6,0.0,0.0,61.111,24053
3782.1,49601.9,3292.0,33197.1,50.0,13.889,23146
3459.6,41261.0,289.1,26104.3,12.5,5.556,23046
3762.1,44822.2,1442.0,20477.8,41.667,11.111,24010
13413.4,8394.6,5730.7,4837.3,16.667,25.0,24198
2614.8,4954.0,3133.4,4652.0,33.333,2.778,24243
338.0,33492.0,1733.8,25214.9,37.5,5.556,24250
7321.6,10704.4,4997.7,6514.2,20.833,19.444,24007
11225.8,27355.2,8637.7,16244.7,41.667,19.444,23698
2829.9,12417.6,2089.4,13732.4,45.833,8.333,24141
905.9,28400.7,2212.5,23932.5,16.667,5.556,22878
9750.7,2421.8,5421.1,4192.3,4.167,19.444,24179
2769.7,25156.3,1265.6,12436.2,33.333,5.556,23558
5473.8,21506.5,3517.5,14808.2,41.667,22.222,24011
846.2,44486.9,2413.8,24604.2,50.0,2.778,23885
