Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,significant_without_fdr_ARI
Calm_Direct_FinalMax,-0.2729769915876222,0.06338591278892043,0.2073563723282766,False,True
Calm_Avert_FinalMax,-0.2383341541915251,0.10668320462860857,0.21336640925721714,False,False
Angry_Direct_FinalMax,-0.2616492009023391,0.0756394417498447,0.21336640925721714,False,True
Angry_Avert_FinalMax,-0.24218960636611045,0.1009678934291526,0.21336640925721714,False,False
Dwell_a_d_BG,0.33643606149023064,0.020764617859643612,0.15003827751342305,False,True
Dwell_a_d_EY,-0.24612377359146784,0.09538184887862736,0.21336640925721714,False,True
Dwell_a_d_MO,0.1967605628384384,0.18497210925175264,0.3288393053364491,False,False
Dwell_a_a_BG,0.361036297345403,0.01265915621927429,0.15003827751342305,False,True
Dwell_a_a_EY,-0.23905275615819763,0.10559958706373908,0.21336640925721714,False,False
Dwell_a_a_MO,0.12600257032017848,0.39870283437793763,0.5103396280037602,False,False
Dwell_c_d_BG,0.332846173632207,0.022251585853476592,0.15003827751342305,False,True
Dwell_c_d_EY,-0.1621971729618439,0.27604033936143424,0.384056124328952,False,False
Dwell_c_d_MO,0.16809613537453263,0.2587136565376394,0.384056124328952,False,False
Dwell_c_a_BG,0.32740010120016183,0.024677569714345197,0.15003827751342305,False,True
Dwell_c_a_EY,-0.16566228305573877,0.2657720704217195,0.384056124328952,False,False
Dwell_c_a_MO,0.016262282764942702,0.9136041833864634,0.9430752860763494,False,False
pctFirstFixa_aEY,-0.2715862749804944,0.06479886635258644,0.2073563723282766,False,True
pctFirstFixa_aMO,0.09417823490314466,0.5289108565333273,0.5836257727264301,False,False
pctFirstFixa_aBG,0.21973181705212635,0.13779659896427127,0.2593818333445106,False,False
pctFirstFixc_aEY,-0.10856458661615848,0.467599256908952,0.5541917118920913,False,False
pctFirstFixc_aMO,0.0410681537683716,0.78402065357901,0.836288697150944,False,False
pctFirstFixc_aBG,0.3034929674733102,0.03809696577536364,0.15238786310145455,False,True
pctFirstFixa_dEY,-0.2509716471143933,0.08883082625612626,0.21336640925721714,False,True
pctFirstFixa_dMO,0.17271493718241324,0.24566654025417858,0.384056124328952,False,False
pctFirstFixa_dBG,0.3203712676001354,0.028132177033766824,0.15003827751342305,False,True
pctFirstFixc_dEY,-0.305686034211009,0.03665792228918688,0.15238786310145455,False,True
pctFirstFixc_dMO,-0.009936093595843128,0.947150334559407,0.947150334559407,False,False
pctFirstFixc_dBG,0.3297909661556698,0.023586595771048914,0.15003827751342305,False,True
meanRT-a_a,0.11006996205097765,0.46141166004954953,0.5541917118920913,False,False
meanRT-c_a,0.13091289902654965,0.38042713438202513,0.5072361791760335,False,False
meanRT-a_d,0.16595900053791404,0.2649047708771754,0.384056124328952,False,False
meanRT-c_d,0.10370258937971293,0.48788368795986986,0.5575813576684227,False,False
