Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED,significant_without_fdr_ARI,significant_without_fdr_SCARED
Calm_Direct_FinalMax,-0.2729769915876222,0.06338591278892043,0.2073563723282766,False,-0.11342959778847624,0.44776322800529295,0.9151303059962408,False,True,False
Angry_Direct_FinalMax,-0.2616492009023391,0.0756394417498447,0.21336640925721714,False,-0.1400119509416467,0.3479047518935857,0.8166292796725237,False,True,False
Dwell_a_d_BG,0.33643606149023064,0.020764617859643612,0.15003827751342305,False,0.16906252822327011,0.2559461637559778,0.8166292796725237,False,True,False
Dwell_a_d_EY,-0.24612377359146784,0.09538184887862736,0.21336640925721714,False,-0.251182552067638,0.08855398800625507,0.8166292796725237,False,True,True
Dwell_a_a_BG,0.361036297345403,0.01265915621927429,0.15003827751342305,False,0.17949906599741255,0.22732360572490584,0.8166292796725237,False,True,False
Dwell_a_a_EY,-0.23905275615819763,0.10559958706373908,0.21336640925721714,False,-0.2657728826113799,0.07097914342051638,0.8166292796725237,False,False,True
Dwell_c_d_BG,0.332846173632207,0.022251585853476592,0.15003827751342305,False,0.1068286450502143,0.47478935928529886,0.9151303059962408,False,True,False
Dwell_c_a_BG,0.32740010120016183,0.024677569714345197,0.15003827751342305,False,0.1414439876551052,0.34294668813456236,0.8166292796725237,False,True,False
pctFirstFixa_aEY,-0.2715862749804944,0.06479886635258644,0.2073563723282766,False,-0.06047721659502509,0.6863477294971806,0.9151303059962408,False,True,False
pctFirstFixc_aBG,0.3034929674733102,0.03809696577536364,0.15238786310145455,False,0.1373392684094386,0.3572753098567291,0.8166292796725237,False,True,False
pctFirstFixa_dEY,-0.2509716471143933,0.08883082625612626,0.21336640925721714,False,-0.0760829575143258,0.6112493901571204,0.9151303059962408,False,True,False
pctFirstFixa_dBG,0.3203712676001354,0.028132177033766824,0.15003827751342305,False,0.19048086876706552,0.19967199786681944,0.8166292796725237,False,True,False
pctFirstFixc_dEY,-0.305686034211009,0.03665792228918688,0.15238786310145455,False,-0.09518959992375084,0.5244752387399874,0.9151303059962408,False,True,False
pctFirstFixc_dBG,0.3297909661556698,0.023586595771048914,0.15003827751342305,False,0.14112824194416926,0.34403611009093965,0.8166292796725237,False,True,False
