Dwell_a_d_EY,Dwell_a_a_EY,ID
12918.8,12383.1,24246
34204.4,27854.4,23710
20785.4,16024.4,23468
8030.9,12350.9,23998
21924.0,9374.8,23596
7358.1,8532.8,23939
10661.3,7244.0,22498
36392.1,20183.3,24074
28865.8,21292.0,24155
24197.2,20106.5,24212
51523.3,34563.0,24162
28126.4,18193.3,23795
25086.8,18757.2,24254
0.0,0.0,22705
7840.9,5731.3,23636
35047.6,23478.2,24038
7297.9,12122.7,24032
2737.4,0.0,23784
18982.7,12473.7,20950
35868.1,28691.1,23179
5152.9,8339.6,23481
12065.1,5890.8,24146
0.0,0.0,23868
16131.4,11464.1,23726
28635.1,19585.2,24239
5511.7,1404.0,24104
31025.5,20158.3,23683
38122.0,31659.7,24079
4799.6,3188.0,23724
26095.9,20073.9,24004
622.1,0.0,23298
16715.8,12681.1,24237
1808.8,0.0,24053
49601.9,33197.1,23146
41261.0,26104.3,23046
44822.2,20477.8,24010
8394.6,4837.3,24198
4954.0,4652.0,24243
33492.0,25214.9,24250
10704.4,6514.2,24007
27355.2,16244.7,23698
12417.6,13732.4,24141
28400.7,23932.5,22878
2421.8,4192.3,24179
25156.3,12436.2,23558
21506.5,14808.2,24011
44486.9,24604.2,23885
