Feature_1,Feature_2,r,p_uncorrected,p_fdr,significant
Dwell_a_d_BG,Dwell_a_d_EY,-0.56349817376728,3.7226801028471336e-05,4.6533501285589166e-05,True
Dwell_a_d_BG,Dwell_a_a_BG,0.9590086380223656,2.796991839339759e-26,4.195487759009639e-25,True
Dwell_a_d_BG,Dwell_a_a_EY,-0.5948862744437722,1.034794557084002e-05,2.2174169080371474e-05,True
Dwell_a_d_BG,pctFirstFixa_aEY,-0.5160690370285511,0.00020483935511611363,0.00023635310205705418,True
Dwell_a_d_BG,pctFirstFixa_dBG,0.8862789519067331,1.2034103462530516e-16,6.017051731265257e-16,True
Dwell_a_d_EY,Dwell_a_a_BG,-0.5651039003275928,3.497641884936275e-05,4.6533501285589166e-05,True
Dwell_a_d_EY,Dwell_a_a_EY,0.9388309708923825,1.8437771946060604e-22,1.3828328959545452e-21,True
Dwell_a_d_EY,pctFirstFixa_aEY,0.6710655524190217,2.4424046765881293e-07,6.106011691470322e-07,True
Dwell_a_d_EY,pctFirstFixa_dBG,-0.5758507221060895,2.284829829169503e-05,3.427244743754255e-05,True
Dwell_a_a_BG,Dwell_a_a_EY,-0.5769275516767027,2.1875857481256613e-05,3.427244743754255e-05,True
Dwell_a_a_BG,pctFirstFixa_aEY,-0.502690792880891,0.000317101951169209,0.000317101951169209,True
Dwell_a_a_BG,pctFirstFixa_dBG,0.8427482573779925,1.0962546137093206e-13,4.1109548014099526e-13,True
Dwell_a_a_EY,pctFirstFixa_aEY,0.6843139492816301,1.1362771177141715e-07,3.4088313531425146e-07,True
Dwell_a_a_EY,pctFirstFixa_dBG,-0.5870793186156549,1.4406733957398654e-05,2.701262617012248e-05,True
pctFirstFixa_aEY,pctFirstFixa_dBG,-0.5096521632030162,0.0002531754233014283,0.0002712593821086732,True
