Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI
Calm_Direct_FinalMax,-0.09275241349143332,0.5351953569853052,0.7927185753768486,False
Calm_Avert_FinalMax,-0.0740015163540621,0.6210615594317394,0.8380594426354027,False
Angry_Direct_FinalMax,-0.08528533895744986,0.5686894127703479,0.7927185753768486,False
Angry_Avert_FinalMax,-0.08874453279505864,0.5530530879912194,0.7927185753768486,False
Dwell_a_d_BG,0.3119051234764192,0.03281859561634735,0.14332758201792306,False
Dwell_a_d_EY,-0.33819665554837636,0.020066508662622676,0.14332758201792306,False
Dwell_a_d_MO,0.046175794021828254,0.7579260558110295,0.8716149641826839,False
Dwell_a_a_BG,0.3676605508948664,0.011008778142087514,0.14332758201792306,False
Dwell_a_a_EY,-0.30948028325506544,0.03427398700428595,0.14332758201792306,False
Dwell_a_a_MO,0.1766954194463439,0.23478625623489555,0.46164533590858464,False
Dwell_c_d_BG,0.28602141297473505,0.0512962229934172,0.18150971213055317,False
Dwell_c_d_EY,-0.17445883806443116,0.24085843612621807,0.46164533590858464,False
Dwell_c_d_MO,0.11649891703421121,0.4354905248895913,0.7419468201822665,False
Dwell_c_a_BG,0.32472443232504006,0.02594825981036351,0.14332758201792306,False
Dwell_c_a_EY,-0.19932105673067993,0.17920611075575707,0.39254671879832503,False
Dwell_c_a_MO,0.021961586158237345,0.8835074467051904,0.9335537497794737,False
pctFirstFixa_aEY,-0.2685393642596544,0.06798226211357862,0.20847893714830776,False
pctFirstFixa_aMO,0.2781637876045779,0.05833174106294386,0.19166143492110124,False
pctFirstFixa_aBG,0.23690712720962218,0.10886031213480164,0.26355654516846716,False
pctFirstFixc_aEY,-0.13026261570470435,0.3828184226274012,0.6772941323407867,False
pctFirstFixc_aMO,0.07051283883602422,0.6376539237443282,0.8380594426354027,False
pctFirstFixc_aBG,0.3293565793790456,0.023781748614016458,0.14332758201792306,False
pctFirstFixa_dEY,-0.24936922362157002,0.09095626277310111,0.26149925547266567,False
pctFirstFixa_dMO,0.09007695754713144,0.5470850674697944,0.7927185753768486,False
pctFirstFixa_dBG,0.3413289667603842,0.018873383224796494,0.14332758201792306,False
pctFirstFixc_dEY,-0.23751807454872814,0.10792411641146342,0.26355654516846716,False
pctFirstFixc_dMO,0.08636290042586589,0.5637967653762577,0.7927185753768486,False
pctFirstFixc_dBG,0.3803583091258449,0.008356169664851879,0.14332758201792306,False
meanRT-a_a,-0.08704650530184593,0.5607030655148367,0.7927185753768486,False
meanRT-c_a,-0.049170822462268296,0.7427456682507074,0.8716149641826839,False
meanRT-a_d,-0.052016583981049025,0.728410757379583,0.8716149641826839,False
meanRT-c_d,-0.06572845630528598,0.6606956590529754,0.8442222310121352,False
msTotal.a_a,0.022474812671890356,0.8808045331490303,0.9335537497794737,False
msTotal.a_c,-0.20513384317362843,0.1665979478077197,0.3831752799577553,False
msTotal.d_a,-0.054446804091621726,0.7162410715900157,0.8716149641826839,False
msTotal.d_c,-0.19490052857522638,0.18924308025361414,0.39569007689392044,False
pctOffscreen.a_a,-0.321160116012404,0.02772544790351964,0.14332758201792306,False
pctOffscreen.a_c,-0.3136347514867692,0.031812018695882266,0.14332758201792306,False
pctOffscreen.d_a,-0.2922118195359532,0.04625089602170384,0.1772951014165314,False
pctOffscreen.d_c,-0.3107066492773828,0.03353139919879071,0.14332758201792306,False
pctOnBackground.a_a,-0.007986477004271207,0.9575096288930187,0.9730701389304123,False
pctOnBackground.a_c,0.020167816741480344,0.8929644563108009,0.9335537497794737,False
pctOnBackground.d_a,0.026838085238159184,0.857882486481238,0.9335537497794737,False
pctOnBackground.d_c,-0.005060343971548767,0.9730701389304123,0.9730701389304123,False
pctSamplesOffscreenL,-0.16790578537053874,0.25926112133646395,0.4770404632590937,False
pctSamplesOffscreenR,-0.2389498967739757,0.10575417465541315,0.26355654516846716,False
