Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,significant_without_fdr_ARI
Calm_Direct_FinalMax,-0.09275241349143334,0.5351953569853056,0.7279224483460425,False,False
Calm_Avert_FinalMax,-0.07400151635406207,0.6210615594317414,0.7550807532033997,False,False
Angry_Direct_FinalMax,-0.08528533895744989,0.5686894127703457,0.7279224483460425,False,False
Angry_Avert_FinalMax,-0.08874453279505863,0.5530530879912193,0.7279224483460425,False,False
Dwell_a_d_BG,0.3119051234764193,0.032818595616347306,0.13709594801714353,False,True
Dwell_a_d_EY,-0.3381966555483764,0.02006650866262266,0.13709594801714353,False,True
Dwell_a_d_MO,0.04617579402182825,0.7579260558110333,0.7823752834178409,False,False
Dwell_a_a_BG,0.3676605508948665,0.011008778142087491,0.13709594801714353,False,True
Dwell_a_a_EY,-0.30948028325506555,0.03427398700428588,0.13709594801714353,False,True
Dwell_a_a_MO,0.17669541944634387,0.2347862562348961,0.4533805856493516,False,False
Dwell_c_d_BG,0.2860214129747351,0.05129622299341725,0.18238657064326133,False,True
Dwell_c_d_EY,-0.1744588380644312,0.24085843612621802,0.4533805856493516,False,False
Dwell_c_d_MO,0.11649891703421125,0.4354905248895918,0.7279224483460425,False,False
Dwell_c_a_BG,0.3247244323250401,0.02594825981036348,0.13709594801714353,False,True
Dwell_c_a_EY,-0.19932105673068,0.17920611075575654,0.38230636961228065,False,False
Dwell_c_a_MO,0.021961586158237317,0.8835074467051918,0.8835074467051918,False,False
pctFirstFixa_aEY,-0.26853936425965436,0.06798226211357859,0.19776658069404682,False,True
pctFirstFixa_aMO,0.2781637876045779,0.058331741062944024,0.18666157140142087,False,True
pctFirstFixa_aBG,0.2369071272096222,0.10886031213480149,0.24882357059383198,False,False
pctFirstFixc_aEY,-0.13026261570470432,0.38281842262740284,0.6805660846709384,False,False
pctFirstFixc_aMO,0.07051283883602427,0.6376539237443304,0.7550807532033997,False,False
pctFirstFixc_aBG,0.32935657937904567,0.02378174861401653,0.13709594801714353,False,True
pctFirstFixa_dEY,-0.2493692236215701,0.09095626277310111,0.24255003406160294,False,True
pctFirstFixa_dMO,0.09007695754713141,0.5470850674697948,0.7279224483460425,False,False
pctFirstFixa_dBG,0.34132896676038416,0.01887338322479664,0.13709594801714353,False,True
pctFirstFixc_dEY,-0.23751807454872814,0.10792411641146352,0.24882357059383198,False,False
pctFirstFixc_dMO,0.08636290042586593,0.5637967653762587,0.7279224483460425,False,False
pctFirstFixc_dBG,0.38035830912584484,0.008356169664851872,0.13709594801714353,False,True
meanRT-a_a,-0.08704650530184589,0.5607030655148366,0.7279224483460425,False,False
meanRT-c_a,-0.04917082246226831,0.74274566825071,0.7823752834178409,False,False
meanRT-a_d,-0.052016583981048976,0.7284107573795854,0.7823752834178409,False,False
meanRT-c_d,-0.06572845630528598,0.6606956590529748,0.7550807532033997,False,False
