Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_c_d_BG,Dwell_c_a_EY,pctFirstFixa_aEY,pctFirstFixa_dEY,pctFirstFixa_dBG,pctFirstFixc_dBG,ID
6046.5,12918.8,4719.9,12383.1,8569.6,16811.2,8.333,25.0,11.111,25.0,24246
0.0,34204.4,2333.9,27854.4,351.7,28858.7,58.333,33.333,0.0,2.778,23710
331.0,20785.4,879.0,16024.4,1086.0,11491.7,12.5,19.444,2.778,0.0,23468
12712.9,8030.9,6884.4,12350.9,15582.3,8638.9,33.333,8.333,41.667,41.667,23998
3579.0,21924.0,3457.7,9374.8,9692.6,11084.5,4.167,13.889,5.556,25.0,23596
12881.6,7358.1,10889.4,8532.8,12795.8,12965.6,8.333,0.0,30.556,30.556,23939
5747.2,10661.3,6834.2,7244.0,2309.4,9271.4,12.5,16.667,38.889,27.778,22498
2068.1,36392.1,1227.0,20183.3,3062.5,22477.9,33.333,38.889,16.667,11.111,24074
2201.1,28865.8,1549.8,21292.0,3131.5,20420.6,20.833,27.778,11.111,16.667,24155
1614.7,24197.2,864.6,20106.5,766.0,12789.9,20.833,19.444,8.333,8.333,24212
3975.7,51523.3,280.0,34563.0,1764.9,39543.9,29.167,44.444,5.556,0.0,24162
3099.2,28126.4,1608.3,18193.3,1346.5,12317.0,37.5,27.778,16.667,5.556,23795
3170.1,25086.8,754.4,18757.2,1002.4,20498.9,37.5,50.0,5.556,2.778,24254
43081.1,0.0,30759.0,0.0,47103.2,0.0,0.0,0.0,55.556,50.0,22705
13173.9,7840.9,11265.1,5731.3,10155.8,12193.5,12.5,16.667,16.667,27.778,23636
2012.7,35047.6,284.1,23478.2,1366.4,20955.9,37.5,16.667,16.667,5.556,24038
4778.8,7297.9,4860.4,12122.7,7292.8,3459.7,12.5,2.778,11.111,16.667,24032
35954.4,2737.4,20695.5,0.0,28441.4,2883.1,0.0,0.0,50.0,44.444,23784
3912.0,18982.7,1013.6,12473.7,5179.6,14444.1,16.667,33.333,13.889,16.667,20950
1549.8,35868.1,879.0,28691.1,774.0,35118.1,62.5,52.778,2.778,0.0,23179
20946.9,5152.9,11598.8,8339.6,15344.1,4337.3,8.333,8.333,36.111,41.667,23481
4019.7,12065.1,3671.8,5890.8,6888.3,8352.8,20.833,19.444,11.111,25.0,24146
2391.0,0.0,2929.4,0.0,2418.5,1366.0,0.0,0.0,8.333,2.778,23868
10664.9,16131.4,6233.2,11464.1,4569.4,4949.2,12.5,13.889,16.667,13.889,23726
1463.2,28635.1,2996.8,19585.2,352.4,32824.6,16.667,25.0,8.333,2.778,24239
14680.3,5511.7,7581.2,1404.0,19936.9,1672.0,12.5,13.889,27.778,27.778,24104
5713.9,31025.5,3580.2,20158.3,3909.3,20316.5,33.333,41.667,8.333,11.111,23683
5035.4,38122.0,5856.8,31659.7,5211.0,26566.6,20.833,27.778,22.222,19.444,24079
20437.0,4799.6,13360.5,3188.0,20340.4,2600.0,8.333,2.778,36.111,38.889,23724
919.3,26095.9,318.0,20073.9,1352.9,15766.9,45.833,30.556,2.778,5.556,24004
6905.9,622.1,3268.8,0.0,2224.0,714.0,0.0,0.0,27.778,13.889,23298
2709.3,16715.8,621.1,12681.1,4052.4,7280.2,16.667,13.889,13.889,2.778,24237
36865.8,1808.8,18497.6,0.0,40058.0,2735.9,0.0,5.556,61.111,66.667,24053
3782.1,49601.9,3292.0,33197.1,5439.3,32506.1,50.0,50.0,13.889,8.333,23146
3459.6,41261.0,289.1,26104.3,179.6,25104.5,12.5,27.778,5.556,2.778,23046
3762.1,44822.2,1442.0,20477.8,7632.5,20401.0,41.667,47.222,11.111,8.333,24010
13413.4,8394.6,5730.7,4837.3,19810.4,9970.7,16.667,2.778,25.0,19.444,24198
2614.8,4954.0,3133.4,4652.0,6083.1,5507.5,33.333,19.444,2.778,19.444,24243
338.0,33492.0,1733.8,25214.9,2171.2,17947.3,37.5,30.556,5.556,19.444,24250
7321.6,10704.4,4997.7,6514.2,5199.5,4866.6,20.833,13.889,19.444,2.778,24007
11225.8,27355.2,8637.7,16244.7,14441.7,21569.5,41.667,38.889,19.444,30.556,23698
2829.9,12417.6,2089.4,13732.4,6992.8,10816.3,45.833,27.778,8.333,11.111,24141
905.9,28400.7,2212.5,23932.5,5461.8,20050.0,16.667,11.111,5.556,8.333,22878
9750.7,2421.8,5421.1,4192.3,14468.4,3929.4,4.167,2.778,19.444,27.778,24179
2769.7,25156.3,1265.6,12436.2,964.1,15019.4,33.333,38.889,5.556,2.778,23558
5473.8,21506.5,3517.5,14808.2,3736.9,19241.6,41.667,36.111,22.222,11.111,24011
846.2,44486.9,2413.8,24604.2,2638.2,33053.4,50.0,66.667,2.778,2.778,23885
