Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
Calm_Direct_FinalMax,-0.09275241349143334,0.5351953569853056,0.7927185753768455,False,-0.03358083169541373,0.8226931342902757,0.9703560045475047,False
Calm_Avert_FinalMax,-0.07400151635406207,0.6210615594317414,0.8380594426354055,False,-0.007400090337015549,0.9606268307662876,0.9979603684142391,False
Angry_Direct_FinalMax,-0.08528533895744989,0.5686894127703457,0.7927185753768455,False,-0.02806023068048886,0.8514819317955545,0.9792042215648877,False
Angry_Avert_FinalMax,-0.08874453279505863,0.5530530879912193,0.7927185753768455,False,0.0027861850684982176,0.9851707369406132,0.9979603684142391,False
Dwell_a_d_BG,0.3119051234764193,0.032818595616347306,0.14332758201792278,False,0.3633505378431351,0.01206003554771752,0.092460272532501,True
Dwell_a_d_EY,-0.3381966555483764,0.02006650866262266,0.14332758201792278,False,-0.3687230291296449,0.010762059140753993,0.092460272532501,True
Dwell_a_d_MO,0.04617579402182825,0.7579260558110333,0.8716149641826884,False,0.22299316654395362,0.13190261941177822,0.2333661728054538,False
Dwell_a_a_BG,0.3676605508948665,0.011008778142087491,0.14332758201792278,False,0.3654251660446809,0.011543749801145762,0.092460272532501,True
Dwell_a_a_EY,-0.30948028325506555,0.03427398700428588,0.14332758201792278,False,-0.4061297277400229,0.004618363653957591,0.07081490936068306,True
Dwell_a_a_MO,0.17669541944634387,0.2347862562348961,0.46164533590858453,False,0.1679347893883489,0.2591776529818236,0.37256787616137144,False
Dwell_c_d_BG,0.2860214129747351,0.05129622299341725,0.18150971213055334,False,0.33403918888546236,0.02174780720430731,0.12756341327209708,False
Dwell_c_d_EY,-0.1744588380644312,0.24085843612621802,0.46164533590858453,False,-0.2775555653254805,0.05890711374552543,0.19068783558463961,False
Dwell_c_d_MO,0.11649891703421125,0.4354905248895918,0.7419468201822674,False,0.24750592610848338,0.09347716792545376,0.21535049478846066,False
Dwell_c_a_BG,0.3247244323250401,0.02594825981036348,0.14332758201792278,False,0.23634348031094,0.10972951846184231,0.21535049478846066,False
Dwell_c_a_EY,-0.19932105673068,0.17920611075575654,0.39254671879832387,False,-0.3195529504305469,0.028559337406859994,0.13137295207155597,False
Dwell_c_a_MO,0.021961586158237317,0.8835074467051918,0.933553749779475,False,0.23555257040148872,0.11095811246699734,0.21535049478846066,False
pctFirstFixa_aEY,-0.26853936425965436,0.06798226211357859,0.20847893714830767,False,-0.4274519351203163,0.0027281330751168353,0.07081490936068306,True
pctFirstFixa_aMO,0.2781637876045779,0.058331741062944024,0.19166143492110177,False,0.27455677299313513,0.06181082522302742,0.19068783558463961,False
pctFirstFixa_aBG,0.2369071272096222,0.10886031213480149,0.26355654516846677,False,0.3080140553742502,0.03517958189092122,0.147114615180216,False
pctFirstFixc_aEY,-0.13026261570470432,0.38281842262740284,0.6772941323407897,False,-0.15667510793173556,0.29293751946818947,0.3850035970153347,False
pctFirstFixc_aMO,0.07051283883602427,0.6376539237443304,0.8380594426354055,False,0.19301376227811465,0.1936467155992919,0.2873467392763686,False
pctFirstFixc_aBG,0.32935657937904567,0.02378174861401653,0.14332758201792278,False,0.2665082827829975,0.07017247198695403,0.19068783558463961,False
pctFirstFixa_dEY,-0.2493692236215701,0.09095626277310111,0.26149925547266567,False,-0.32679973520452227,0.02495805911845378,0.12756341327209708,False
pctFirstFixa_dMO,0.09007695754713141,0.5470850674697948,0.7927185753768455,False,0.26623481350924044,0.07047159141171463,0.19068783558463961,False
pctFirstFixa_dBG,0.34132896676038416,0.01887338322479664,0.14332758201792278,False,0.4102737437543678,0.004180136098950056,0.07081490936068306,True
pctFirstFixc_dEY,-0.23751807454872814,0.10792411641146352,0.26355654516846677,False,-0.2703212130718845,0.0661058567299451,0.19068783558463961,False
pctFirstFixc_dMO,0.08636290042586593,0.5637967653762587,0.7927185753768455,False,0.29424580824566643,0.04468411665405172,0.17128911384053158,False
pctFirstFixc_dBG,0.38035830912584484,0.008356169664851872,0.14332758201792278,False,0.33120483735864614,0.02296067035748043,0.12756341327209708,False
meanRT-a_a,-0.08704650530184589,0.5607030655148366,0.7927185753768455,False,-0.23442528462236778,0.11272732959301762,0.21535049478846066,False
meanRT-c_a,-0.04917082246226831,0.74274566825071,0.8716149641826884,False,-0.24326188182316752,0.09942102235167034,0.21535049478846066,False
meanRT-a_d,-0.052016583981048976,0.7284107573795854,0.8716149641826884,False,-0.2080811398456469,0.1604571203380236,0.26360812626961017,False
meanRT-c_d,-0.06572845630528598,0.6606956590529748,0.8442222310121344,False,-0.23173378711428314,0.11703831238503297,0.21535049478846066,False
msTotal.a_a,0.02247481267189036,0.8808045331490282,0.933553749779475,False,-0.21011388286709967,0.15631921091238044,0.26360812626961017,False
msTotal.a_c,-0.20513384317362848,0.16659794780772008,0.3831752799577562,False,-0.24902239931097708,0.09142144531194668,0.21535049478846066,False
msTotal.d_a,-0.054446804091621705,0.7162410715900152,0.8716149641826884,False,-0.051611537083264825,0.7304456305779458,0.8842236580680396,False
msTotal.d_c,-0.1949005285752264,0.18924308025361386,0.3956900768939199,False,-0.15983873445274627,0.2831767231061664,0.3850035970153347,False
