Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_EY,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-c_a,ID
6046.5,12918.8,4719.9,12383.1,8569.6,21505.0,0.0,16811.2,8.333,4.167,12.5,29.167,25.0,0.0,11.111,19.444,0.0,25.0,0.784,24246
0.0,34204.4,2333.9,27854.4,351.7,31744.2,510.2,28858.7,58.333,4.167,4.167,4.167,33.333,11.111,0.0,30.556,2.778,2.778,1.031,23710
331.0,20785.4,879.0,16024.4,1086.0,7176.0,3037.2,11491.7,12.5,4.167,12.5,0.0,19.444,8.333,2.778,8.333,5.556,0.0,0.675,23468
12712.9,8030.9,6884.4,12350.9,15582.3,10254.1,0.0,8638.9,33.333,8.333,12.5,25.0,8.333,2.778,41.667,13.889,0.0,41.667,0.469,23998
3579.0,21924.0,3457.7,9374.8,9692.6,17758.2,1763.7,11084.5,4.167,12.5,8.333,12.5,13.889,8.333,5.556,8.333,5.556,25.0,0.938,23596
12881.6,7358.1,10889.4,8532.8,12795.8,15840.0,104.0,12965.6,8.333,0.0,29.167,45.833,0.0,5.556,30.556,19.444,2.778,30.556,0.78,23939
5747.2,10661.3,6834.2,7244.0,2309.4,12805.7,0.0,9271.4,12.5,0.0,66.667,50.0,16.667,0.0,38.889,25.0,0.0,27.778,0.373,22498
2068.1,36392.1,1227.0,20183.3,3062.5,33006.3,366.0,22477.9,33.333,4.167,8.333,29.167,38.889,2.778,16.667,22.222,2.778,11.111,0.837,24074
2201.1,28865.8,1549.8,21292.0,3131.5,25174.6,0.0,20420.6,20.833,0.0,12.5,4.167,27.778,11.111,11.111,8.333,0.0,16.667,0.543,24155
1614.7,24197.2,864.6,20106.5,766.0,26599.7,0.0,12789.9,20.833,8.333,8.333,4.167,19.444,2.778,8.333,19.444,0.0,8.333,0.669,24212
3975.7,51523.3,280.0,34563.0,1764.9,57454.7,0.0,39543.9,29.167,0.0,0.0,16.667,44.444,0.0,5.556,41.667,0.0,0.0,1.158,24162
3099.2,28126.4,1608.3,18193.3,1346.5,22824.4,644.0,12317.0,37.5,4.167,8.333,0.0,27.778,8.333,16.667,47.222,2.778,5.556,0.523,23795
3170.1,25086.8,754.4,18757.2,1002.4,22725.1,1606.8,20498.9,37.5,8.333,4.167,0.0,50.0,5.556,5.556,22.222,2.778,2.778,0.591,24254
