Feature,t_stat,p_value,p_fdr,significant
Calm_Direct_FinalMax,0.376946208017596,0.7092332372544796,0.8865415465680995,False
Calm_Avert_FinalMax,0.6035135024583357,0.551272015756793,0.7248228459580615,False
Angry_Direct_FinalMax,0.24117062722027682,0.8110600608777058,0.9541883069149479,False
Angry_Avert_FinalMax,0.17616373129420868,0.8616021208344802,0.9597917819932295,False
Fix_a_d_BG,-0.772939208494557,0.4529275625746555,0.6470393751066508,False
Fix_a_d_EY,0.9076836929444182,0.37620720341403247,0.5795705845210032,False
Fix_a_d_MO,-1.5860487326538817,0.13408557421229994,0.5795705845210032,False
Fix_a_a_BG,-1.32420410840293,0.20637296803562039,0.5795705845210032,False
Fix_a_a_EY,1.0134495337404987,0.3256295874520908,0.5795705845210032,False
Fix_a_a_MO,-1.5547725147542617,0.14082639332298558,0.5795705845210032,False
Fix_c_d_BG,-1.0416523930121375,0.3154919405993966,0.5795705845210032,False
Fix_c_d_EY,1.7707146326611307,0.09175666805541738,0.5795705845210032,False
Fix_c_d_MO,-0.8945800899813656,0.3863803896806688,0.5795705845210032,False
Fix_c_a_BG,-0.6631035871557492,0.5182022755871067,0.706639466709691,False
Fix_c_a_EY,1.124074595761915,0.275725394051986,0.5795705845210032,False
Fix_c_a_MO,-1.3200672222673484,0.2088411791214594,0.5795705845210032,False
Dwell_a_d_BG,-0.9943833384239567,0.33716803644843363,0.5795705845210032,False
Dwell_a_d_EY,1.1772205956719564,0.2539871694287805,0.5795705845210032,False
Dwell_a_d_MO,-1.7887958980407976,0.09482478096249525,0.5795705845210032,False
Dwell_a_a_BG,-1.4773540284941544,0.1623424399456913,0.5795705845210032,False
Dwell_a_a_EY,1.4313661800071127,0.16925184172721217,0.5795705845210032,False
Dwell_a_a_MO,-2.252890932058599,0.042058123379086,0.5795705845210032,False
Dwell_c_d_BG,-1.3192188710970143,0.20945945492139256,0.5795705845210032,False
Dwell_c_d_EY,1.9834061654512005,0.061011144920826495,0.5795705845210032,False
Dwell_c_d_MO,-1.0012849585952537,0.33434013357553605,0.5795705845210032,False
Dwell_c_a_BG,-1.0279427363710987,0.3215716192849424,0.5795705845210032,False
Dwell_c_a_EY,1.341484226065984,0.19637508638525358,0.5795705845210032,False
Dwell_c_a_MO,-1.4248022191675949,0.17770272630100675,0.5795705845210032,False
pctFirstFixa_aEY,0.9727039022339938,0.3443650031844503,0.5795705845210032,False
pctFirstFixa_aMO,-1.4261490793558032,0.1780787689763452,0.5795705845210032,False
pctFirstFixa_aBG,-1.1636429190155304,0.26438463001900614,0.5795705845210032,False
pctFirstFixc_aEY,0.8957742119867705,0.38287241319952436,0.5795705845210032,False
pctFirstFixc_aMO,-1.6530625741032399,0.12058457101449459,0.5795705845210032,False
pctFirstFixc_aBG,-1.0082831795498668,0.32960374134290804,0.5795705845210032,False
pctFirstFixa_dEY,0.67639470846693,0.5084806249158971,0.706639466709691,False
pctFirstFixa_dMO,-0.9252602868339368,0.37085045120392046,0.5795705845210032,False
pctFirstFixa_dBG,-1.0930580994284704,0.2925966103882422,0.5795705845210032,False
pctFirstFixc_dEY,1.3464745058255965,0.19406645016883953,0.5795705845210032,False
pctFirstFixc_dMO,-1.0613136105758256,0.3085436842939637,0.5795705845210032,False
pctFirstFixc_dBG,-1.612756985293334,0.12773115728883477,0.5795705845210032,False
meanRT-a_a,0.22123236899188,0.8272944689032615,0.9545705410422248,False
meanRT-c_a,0.16732538653680762,0.868930230056482,0.9597917819932295,False
meanRT-a_d,0.02731743396009724,0.9785035743010353,0.9856637239828565,False
meanRT-c_d,0.3791632297083068,0.708519198414697,0.8865415465680995,False
msTotal.a_a,0.9385106115344672,0.3574722775502679,0.5795705845210032,False
msTotal.a_c,-1.0711615452439815,0.29506816602778135,0.5795705845210032,False
msTotal.d_a,-0.9315496744142185,0.35728834939552134,0.5795705845210032,False
msTotal.d_c,1.320800415234271,0.2034722912065528,0.5795705845210032,False
pctOffscreen.a_a,0.9337211714958882,0.3581355897174334,0.5795705845210032,False
pctOffscreen.a_c,0.30144197166961395,0.7656324620031426,0.9187589544037711,False
pctOffscreen.d_a,0.0919889447857917,0.9277987225934552,0.9597917819932295,False
pctOffscreen.d_c,-0.12699999168535084,0.9001382041628418,0.9597917819932295,False
pctOnBackground.a_a,-0.7716656955550939,0.45215407520013207,0.6470393751066508,False
pctOnBackground.a_c,-0.9233783040518794,0.36997546135341675,0.5795705845210032,False
pctOnBackground.d_a,-0.602884972693662,0.5556975152345138,0.7248228459580615,False
pctOnBackground.d_c,-1.0511001438370529,0.3085511084696266,0.5795705845210032,False
pctSamplesOffscreenL,0.10222496248685997,0.9196447822568358,0.9597917819932295,False
pctSamplesOffscreenR,0.34621474234458344,0.7324564507897788,0.896885449946668,False
ARI_6_P,0.09547261662125857,0.9250263727405643,0.9597917819932295,False
SCARED_P,0.018234943210016397,0.9856637239828565,0.9856637239828565,False
