ID,Calm_Directt_FinalMax,Calm_Avert_FinalMax,Angry_Directt_FinalMax,Angry_Avert_FinalMax
24032,5.152272667,5.119234,5.28047,6.467483
20950,7.874468333,7.975544667,7.744322333,8.045531667
23636,3.334418667,3.213246667,3.399330667,3.153928
23710,2.963488333,2.984238667,3.217866,2.990871667
23481,4.458540667,4.743619,4.415156667,4.544328333
21835,2.817411667,2.592171667,3.161219667,3.184831333
23724,6.828339333,6.421957333,6.430543,6.35191
24016,2.651555667,2.656955333,2.559781667,2.557830667
24011,5.105320333,5.159369667,4.719753667,5.626240333
23836,3.441163667,3.781787,3.832323,3.786666
24007,3.49144,4.011123,3.813396667,3.710955333
23596,3.068668667,3.70959,3.671606,3.780810333
21666,17.77044167,15.770211,16.142902,16.614519
23807,3.973334,3.854438667,4.282088667,3.652615
23998,5.785006667,5.916650333,6.224363667,6.372072333
23046,3.656256333,3.888780333,3.937106,3.482658667
23298,2.446935,2.738322667,2.923821333,2.845186
23698,3.964488333,3.716094333,4.13802,3.972228667
23683,2.741899667,2.749183667,2.774095,2.911722
23885,2.330315333,2.202768,2.45331,2.365372
23784,3.522010333,3.504708667,3.246687667,3.435243333
22705,4.277338667,3.378136667,4.065888667,4.059124
24079,4.240525333,4.975171333,3.817104,5.009384333
24038,3.08467,3.087727333,2.866715,2.888633333
23146,2.940399,3.010839667,2.980009,2.654606
24142,3.21312,3.183981667,3.646298333,3.457023333
23558,4.353501667,3.990307333,4.158181333,4.038504667
22307,NA,NA,NA,NA
22498,5.021286667,4.396951667,5.276120333,4.949675667
24146,4.709670667,3.775868333,4.696922333,4.894195
24179,3.158946667,2.921934333,2.916795667,2.66528
24155,7.421714,7.281094,7.362851667,7.581586667
23868,3.580612333,3.935089667,3.910178333,3.975154333
23179,2.134537667,2.063772333,2.159319,2.103578333
23939,4.417113667,4.374706667,4.306867667,4.408723
24237,3.221441667,3.038480333,2.875226333,3.026905
23468,3.471862,3.676804667,3.699896667,3.385224
24250,2.652719,2.207311333,2.728882333,2.522181
24053,4.225891667,4.231550333,4.211386,4.853999333
23936,2.913347,3.196472667,3.145675,3.276668333
22878,2.724533667,2.770778,2.352038333,2.676663
24141,2.502219,2.664303333,2.934552333,2.79653
23149,2.158540333,2.153075667,2.198084,2.247583
24004,11.21176233,11.602143,11.44799533,11.810928
23995,4.149393,4.301200333,4.107246333,4.370665333
24246,3.377412,3.338518,3.548276667,3.383395667
24244,4.494570667,4.887877667,4.571191333,4.810022
24249,4.457630333,4.465566333,5.221999333,4.753569333
24212,4.814833,4.451900667,4.505105,4.695742333
24254,3.764354,3.757197667,3.824322333,3.471991667
24074,2.723357,2.907813667,2.860921,2.691878667
24104,2.693964,2.634124,2.756989,2.881218667
23795,4.062506667,4.484237,3.575669333,4.195778
21376,6.473604333,6.628142667,6.057140333,6.262542
24248,2.625599667,2.502542,2.504363,2.367578667
24010,2.473143333,2.579618,2.595817333,2.587097667
24198,2.899943333,2.893636333,3.028337,3.016952
24243,4.4208,4.212872333,4.177945667,4.505236
24239,2.669757667,2.588262,2.967974667,2.635744667
24162,6.525517241,6.344683,7.136500333,6.423254667
24184,2.676076,2.660011333,2.541961667,2.572017931
23726,2.716013333,3.067823333,3.096702,2.965968333
24234,2.156134333,2.163742,2.273273,2.164133667
